hour,t(sec),V1,VAngle1,I1,IAngle1
0, 900.00000, 2466.8, -3.26594, 6.90887, 150.169
0, 1800.00000, 2468.04, -3.24642, 6.86324, 150.189
0, 2700.00000, 2469.27, -3.2268, 6.8174, 150.208
1, 0.00000, 2470.51, -3.20719, 6.77157, 150.228
1, 900.00000, 2471.77, -3.18714, 6.72546, 150.248
1, 1800.00000, 2472.37, -3.1769, 6.70671, 150.258
1, 2700.00000, 2472.97, -3.16657, 6.68781, 150.268
2, 0.00000, 2473.58, -3.15625, 6.66891, 150.279
2, 900.00000, 2474.19, -3.14593, 6.65001, 150.289
2, 1800.00000, 2474.42, -3.14195, 6.64027, 150.293
2, 2700.00000, 2474.65, -3.13799, 6.63059, 150.297
3, 0.00000, 2474.88, -3.13404, 6.62091, 150.301
3, 900.00000, 2475.11, -3.13009, 6.61124, 150.305
3, 1800.00000, 2474.3, -3.14202, 6.6412, 150.293
3, 2700.00000, 2473.48, -3.15405, 6.67135, 150.281
4, 0.00000, 2472.66, -3.16607, 6.7015, 150.269
4, 900.00000, 2471.85, -3.1781, 6.73166, 150.257
4, 1800.00000, 2469.56, -3.21229, 6.81855, 150.223
4, 2700.00000, 2467.26, -3.24663, 6.90573, 150.188
5, 0.00000, 2464.97, -3.28097, 6.99293, 150.154
5, 900.00000, 2462.67, -3.31532, 7.08014, 150.12
5, 1800.00000, 2458.18, -3.38141, 7.26376, 150.054
5, 2700.00000, 2453.72, -3.44692, 7.44685, 149.988
6, 0.00000, 2449.26, -3.51255, 7.63013, 149.922
6, 900.00000, 2444.8, -3.57833, 7.81353, 149.857
6, 1800.00000, 2442.54, -3.61107, 7.90464, 149.824
6, 2700.00000, 2456.47, -3.62378, 7.99233, 149.811
7, 0.00000, 2454.21, -3.65629, 8.08333, 149.779
7, 900.00000, 2451.94, -3.68907, 8.17495, 149.746
7, 1800.00000, 2458.61, -3.42777, 8.18139, 150.007
7, 2700.00000, 2461.39, -3.31649, 8.18871, 150.118
8, 0.00000, 2464.14, -3.20659, 8.19503, 150.228
8, 900.00000, 2466.83, -3.09791, 8.20253, 150.337
8, 1800.00000, 2469.31, -3.00848, 8.19037, 150.427
8, 2700.00000, 2471.77, -2.91927, 8.17826, 150.516
9, 0.00000, 2474.23, -2.83025, 8.16617, 150.605
9, 900.00000, 2476.44, -2.74763, 8.15387, 150.687
9, 1800.00000, 2477.34, -2.71024, 8.16472, 150.725
9, 2700.00000, 2478.23, -2.67283, 8.17551, 150.762
10, 0.00000, 2479.11, -2.63545, 8.18629, 150.8
10, 900.00000, 2480, -2.5981, 8.19708, 150.837
10, 1800.00000, 2480.54, -2.585, 8.18518, 150.85
10, 2700.00000, 2481.07, -2.57192, 8.17331, 150.863
11, 0.00000, 2481.61, -2.55885, 8.16144, 150.876
11, 900.00000, 2482.15, -2.54578, 8.14958, 150.889
11, 1800.00000, 2482.53, -2.53828, 8.13948, 150.897
11, 2700.00000, 2482.92, -2.53078, 8.12942, 150.904
12, 0.00000, 2483.31, -2.52329, 8.11936, 150.912
12, 900.00000, 2483.69, -2.5158, 8.1093, 150.919
12, 1800.00000, 2483.29, -2.53676, 8.10234, 150.898
12, 2700.00000, 2482.89, -2.55777, 8.09551, 150.877
13, 0.00000, 2482.48, -2.57879, 8.08868, 150.856
13, 900.00000, 2482.08, -2.59982, 8.08184, 150.835
13, 1800.00000, 2481.07, -2.64025, 8.08424, 150.795
13, 2700.00000, 2480.06, -2.68073, 8.08673, 150.754
14, 0.00000, 2479.04, -2.72125, 8.08922, 150.714
14, 900.00000, 2478.03, -2.76181, 8.09172, 150.673
14, 1800.00000, 2475.88, -2.84499, 8.08696, 150.59
14, 2700.00000, 2473.72, -2.92839, 8.08242, 150.506
15, 0.00000, 2471.56, -3.01194, 8.07788, 150.423
15, 900.00000, 2469.38, -3.09565, 8.07335, 150.339
15, 1800.00000, 2464.84, -3.23424, 8.13569, 150.201
15, 2700.00000, 2457.5, -3.479, 8.19837, 149.956
16, 0.00000, 2454.18, -3.56978, 8.26011, 149.865
16, 900.00000, 2448.88, -3.73845, 8.32252, 149.697
16, 1800.00000, 2443.87, -3.81624, 8.52692, 149.619
16, 2700.00000, 2438.85, -3.8942, 8.73159, 149.541
17, 0.00000, 2448.55, -3.99258, 8.93207, 149.442
17, 900.00000, 2443.75, -4.06454, 9.13617, 149.37
17, 1800.00000, 2458.98, -4.05906, 9.17318, 149.376
17, 2700.00000, 2457.9, -4.07605, 9.21386, 149.359
18, 0.00000, 2456.8, -4.09343, 9.2554, 149.341
18, 900.00000, 2455.71, -4.11081, 9.29694, 149.324
18, 1800.00000, 2456.76, -4.09585, 9.2525, 149.339
18, 2700.00000, 2457.84, -4.0806, 9.20736, 149.354
19, 0.00000, 2458.91, -4.06534, 9.16222, 149.37
19, 900.00000, 2459.98, -4.05008, 9.11709, 149.385
19, 1800.00000, 2461.54, -4.02745, 9.05392, 149.408
19, 2700.00000, 2463.1, -4.00476, 8.99059, 149.43
20, 0.00000, 2464.66, -3.98208, 8.92728, 149.453
20, 900.00000, 2466.26, -3.95872, 8.86339, 149.476
20, 1800.00000, 2469.31, -3.92027, 8.75589, 149.515
20, 2700.00000, 2472.02, -3.88001, 8.64845, 149.555
21, 0.00000, 2474.7, -3.84029, 8.54119, 149.595
21, 900.00000, 2477.37, -3.80095, 8.43457, 149.634
21, 1800.00000, 2465.91, -3.73172, 8.2863, 149.703
21, 2700.00000, 2469.63, -3.67643, 8.13505, 149.759
22, 0.00000, 2473.34, -3.62104, 7.98363, 149.814
22, 900.00000, 2477.07, -3.56525, 7.83212, 149.87
22, 1800.00000, 2480.81, -3.50928, 7.67804, 149.926
22, 2700.00000, 2469.76, -3.43468, 7.52708, 150
23, 0.00000, 2473.46, -3.37885, 7.37316, 150.056
23, 900.00000, 2476.94, -3.32963, 7.21906, 150.105
23, 1800.00000, 2463.26, -3.31091, 7.11842, 150.124
23, 2700.00000, 2465.65, -3.27445, 7.01504, 150.161
24, 0.00000, 2468.06, -3.23768, 6.91097, 150.197
