hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
0, 900.00000, 2461.8, -0.0014879, 2461.81, -120.001, 2461.81, 119.999, 476.633, -18.3375, 311.519, -134.564, 391.222, 105.124
0, 1800.00000, 2461.8, -0.00147783, 2461.81, -120.001, 2461.81, 119.999, 473.104, -18.2273, 309.304, -134.424, 388.374, 105.241
0, 2700.00000, 2461.8, -0.00146773, 2461.81, -120.001, 2461.81, 119.999, 469.566, -18.1152, 307.09, -134.281, 385.518, 105.361
1, 0.00000, 2461.8, -0.00145763, 2461.81, -120.001, 2461.81, 119.999, 466.031, -18.0017, 304.878, -134.137, 382.662, 105.482
1, 900.00000, 2461.8, -0.00144727, 2461.81, -120.001, 2461.81, 119.999, 462.408, -17.8841, 302.668, -133.991, 379.802, 105.604
1, 1800.00000, 2461.8, -0.00144204, 2461.81, -120.001, 2461.81, 119.999, 460.574, -17.8206, 301.564, -133.92, 378.149, 105.674
1, 2700.00000, 2461.8, -0.0014368, 2461.81, -120.001, 2461.81, 119.999, 458.731, -17.7563, 300.461, -133.849, 376.493, 105.744
2, 0.00000, 2461.8, -0.00143154, 2461.81, -120.001, 2461.81, 119.999, 456.888, -17.6915, 299.358, -133.777, 374.837, 105.815
2, 900.00000, 2461.8, -0.00142629, 2461.81, -120.001, 2461.81, 119.999, 455.046, -17.6263, 298.256, -133.705, 373.181, 105.887
2, 1800.00000, 2461.8, -0.0014242, 2461.81, -120.001, 2461.81, 119.999, 454.312, -17.6006, 297.818, -133.676, 372.507, 105.916
2, 2700.00000, 2461.8, -0.00142211, 2461.81, -120.001, 2461.81, 119.999, 453.581, -17.575, 297.381, -133.648, 371.835, 105.945
3, 0.00000, 2461.8, -0.00142003, 2461.81, -120.001, 2461.81, 119.999, 452.851, -17.5492, 296.943, -133.619, 371.164, 105.974
3, 900.00000, 2461.8, -0.00141794, 2461.81, -120.001, 2461.81, 119.999, 452.12, -17.5234, 296.506, -133.591, 370.492, 106.004
3, 1800.00000, 2461.8, -0.00142406, 2461.81, -120.001, 2461.81, 119.999, 454.247, -17.5923, 297.905, -133.692, 371.956, 105.934
3, 2700.00000, 2461.8, -0.00143021, 2461.81, -120.001, 2461.81, 119.999, 456.384, -17.6609, 299.306, -133.793, 373.424, 105.865
4, 0.00000, 2461.8, -0.00143636, 2461.81, -120.001, 2461.81, 119.999, 458.521, -17.729, 300.708, -133.892, 374.894, 105.797
4, 900.00000, 2461.8, -0.00144251, 2461.81, -120.001, 2461.81, 119.999, 460.658, -17.7965, 302.11, -133.991, 376.363, 105.728
4, 1800.00000, 2461.8, -0.00146011, 2461.81, -120.001, 2461.81, 119.999, 466.79, -17.9889, 306.1, -134.264, 380.77, 105.53
4, 2700.00000, 2461.8, -0.00147774, 2461.81, -120.001, 2461.81, 119.999, 472.94, -18.1775, 310.096, -134.53, 385.186, 105.335
5, 0.00000, 2461.8, -0.00149537, 2461.81, -120.001, 2461.81, 119.999, 479.095, -18.3618, 314.099, -134.79, 389.607, 105.145
5, 900.00000, 2461.8, -0.00151299, 2461.81, -120.001, 2461.81, 119.999, 485.254, -18.5421, 318.107, -135.043, 394.032, 104.959
5, 1800.00000, 2461.8, -0.00154724, 2461.81, -120.001, 2461.81, 119.999, 497.224, -18.8752, 325.918, -135.523, 402.346, 104.616
5, 2700.00000, 2461.8, -0.00158114, 2461.81, -120.001, 2461.81, 119.999, 509.096, -19.1918, 333.751, -135.982, 410.662, 104.287
