hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
0, 900.00000, 2367.33, -2.04927, 2428.52, -121.153, 2391.32, 118.755, 0, 0, 0, 0, 0, 0
0, 1800.00000, 2368.09, -2.03762, 2428.79, -121.146, 2391.81, 118.76, 0, 0, 0, 0, 0, 0
0, 2700.00000, 2368.85, -2.02591, 2429.05, -121.139, 2392.31, 118.766, 0, 0, 0, 0, 0, 0
1, 0.00000, 2369.61, -2.0142, 2429.31, -121.132, 2392.8, 118.772, 0, 0, 0, 0, 0, 0
1, 900.00000, 2370.4, -2.00191, 2429.56, -121.125, 2393.3, 118.777, 0, 0, 0, 0, 0, 0
1, 1800.00000, 2370.78, -1.99571, 2429.69, -121.122, 2393.6, 118.781, 0, 0, 0, 0, 0, 0
1, 2700.00000, 2371.17, -1.98945, 2429.82, -121.119, 2393.9, 118.784, 0, 0, 0, 0, 0, 0
2, 0.00000, 2371.55, -1.98318, 2429.95, -121.115, 2394.2, 118.788, 0, 0, 0, 0, 0, 0
2, 900.00000, 2371.93, -1.97692, 2430.09, -121.112, 2394.5, 118.792, 0, 0, 0, 0, 0, 0
2, 1800.00000, 2372.08, -1.97423, 2430.13, -121.111, 2394.63, 118.793, 0, 0, 0, 0, 0, 0
2, 2700.00000, 2372.24, -1.97156, 2430.17, -121.11, 2394.76, 118.795, 0, 0, 0, 0, 0, 0
3, 0.00000, 2372.39, -1.96888, 2430.22, -121.109, 2394.89, 118.796, 0, 0, 0, 0, 0, 0
3, 900.00000, 2372.54, -1.96621, 2430.26, -121.108, 2395.02, 118.798, 0, 0, 0, 0, 0, 0
3, 1800.00000, 2372.06, -1.97267, 2430.08, -121.113, 2394.8, 118.796, 0, 0, 0, 0, 0, 0
3, 2700.00000, 2371.58, -1.97918, 2429.9, -121.118, 2394.57, 118.793, 0, 0, 0, 0, 0, 0
4, 0.00000, 2371.1, -1.98569, 2429.72, -121.123, 2394.35, 118.791, 0, 0, 0, 0, 0, 0
4, 900.00000, 2370.62, -1.99221, 2429.54, -121.129, 2394.13, 118.789, 0, 0, 0, 0, 0, 0
4, 1800.00000, 2369.26, -2.01141, 2429.03, -121.143, 2393.43, 118.782, 0, 0, 0, 0, 0, 0
4, 2700.00000, 2367.89, -2.03068, 2428.54, -121.157, 2392.72, 118.774, 0, 0, 0, 0, 0, 0
5, 0.00000, 2366.53, -2.04995, 2428.04, -121.171, 2392.02, 118.767, 0, 0, 0, 0, 0, 0
5, 900.00000, 2365.16, -2.06921, 2427.54, -121.185, 2391.32, 118.76, 0, 0, 0, 0, 0, 0
5, 1800.00000, 2362.47, -2.10733, 2426.61, -121.212, 2390.01, 118.748, 0, 0, 0, 0, 0, 0
5, 2700.00000, 2359.81, -2.1447, 2425.66, -121.239, 2388.7, 118.735, 0, 0, 0, 0, 0, 0
6, 0.00000, 2357.15, -2.18212, 2424.71, -121.267, 2387.39, 118.722, 0, 0, 0, 0, 0, 0
6, 900.00000, 2354.5, -2.21964, 2423.76, -121.294, 2386.04, 118.709, 0, 0, 0, 0, 0, 0
6, 1800.00000, 2353.17, -2.23786, 2423.27, -121.308, 2385.43, 118.703, 0, 0, 0, 0, 0, 0
6, 2700.00000, 2367.02, -2.24288, 2437.91, -121.315, 2400.02, 118.705, 0, 0, 0, 0, 0, 0
7, 0.00000, 2365.69, -2.26094, 2437.42, -121.329, 2399.41, 118.699, 0, 0, 0, 0, 0, 0
7, 900.00000, 2364.35, -2.27915, 2436.93, -121.343, 2398.79, 118.693, 0, 0, 0, 0, 0, 0
7, 1800.00000, 2366.92, -2.18116, 2436.57, -121.302, 2400.15, 118.722, 0, 0, 0, 0, 0, 0
7, 2700.00000, 2368.06, -2.13609, 2436.49, -121.28, 2400.79, 118.739, 0, 0, 0, 0, 0, 0
8, 0.00000, 2369.18, -2.09212, 2436.35, -121.261, 2401.41, 118.754, 0, 0, 0, 0, 0, 0
8, 900.00000, 2370.25, -2.0492, 2436.25, -121.241, 2402.01, 118.769, 0, 0, 0, 0, 0, 0
8, 1800.00000, 2371.27, -2.01427, 2436.23, -121.226, 2402.61, 118.782, 0, 0, 0, 0, 0, 0
8, 2700.00000, 2372.29, -1.97938, 2436.22, -121.21, 2403.21, 118.794, 0, 0, 0, 0, 0, 0
9, 0.00000, 2373.31, -1.94453, 2436.21, -121.194, 2403.81, 118.806, 0, 0, 0, 0, 0, 0
9, 900.00000, 2374.23, -1.91165, 2436.32, -121.179, 2404.35, 118.826, 0, 0, 0, 0, 0, 0
9, 1800.00000, 2374.53, -1.89939, 2436.24, -121.175, 2404.53, 118.829, 0, 0, 0, 0, 0, 0
9, 2700.00000, 2374.84, -1.8871, 2436.16, -121.172, 2404.72, 118.832, 0, 0, 0, 0, 0, 0
10, 0.00000, 2375.14, -1.87481, 2436.08, -121.168, 2404.91, 118.835, 0, 0, 0, 0, 0, 0
10, 900.00000, 2375.45, -1.86253, 2436, -121.164, 2405.1, 118.838, 0, 0, 0, 0, 0, 0
10, 1800.00000, 2375.81, -1.85398, 2436.09, -121.159, 2405.34, 118.842, 0, 0, 0, 0, 0, 0
10, 2700.00000, 2376.17, -1.84544, 2436.18, -121.155, 2405.59, 118.846, 0, 0, 0, 0, 0, 0
11, 0.00000, 2376.53, -1.83689, 2436.27, -121.15, 2405.84, 118.851, 0, 0, 0, 0, 0, 0
11, 900.00000, 2376.89, -1.82835, 2436.36, -121.145, 2406.09, 118.855, 0, 0, 0, 0, 0, 0
11, 1800.00000, 2377.15, -1.82353, 2436.44, -121.143, 2406.29, 118.858, 0, 0, 0, 0, 0, 0
11, 2700.00000, 2377.41, -1.81872, 2436.52, -121.141, 2406.49, 118.86, 0, 0, 0, 0, 0, 0
12, 0.00000, 2377.67, -1.8139, 2436.59, -121.139, 2406.69, 118.863, 0, 0, 0, 0, 0, 0
12, 900.00000, 2377.93, -1.80908, 2436.67, -121.137, 2406.89, 118.865, 0, 0, 0, 0, 0, 0
12, 1800.00000, 2377.83, -1.81599, 2436.8, -121.138, 2406.9, 118.866, 0, 0, 0, 0, 0, 0
12, 2700.00000, 2377.74, -1.82294, 2436.93, -121.139, 2406.9, 118.867, 0, 0, 0, 0, 0, 0
13, 0.00000, 2377.64, -1.82988, 2437.06, -121.141, 2406.9, 118.867, 0, 0, 0, 0, 0, 0
13, 900.00000, 2377.54, -1.83683, 2437.19, -121.142, 2406.91, 118.868, 0, 0, 0, 0, 0, 0
13, 1800.00000, 2377.21, -1.85, 2437.31, -121.146, 2406.76, 118.867, 0, 0, 0, 0, 0, 0
13, 2700.00000, 2376.88, -1.8632, 2437.43, -121.15, 2406.61, 118.865, 0, 0, 0, 0, 0, 0
14, 0.00000, 2376.55, -1.8764, 2437.55, -121.154, 2406.46, 118.864, 0, 0, 0, 0, 0, 0
14, 900.00000, 2376.22, -1.88961, 2437.68, -121.157, 2406.31, 118.863, 0, 0, 0, 0, 0, 0
14, 1800.00000, 2375.3, -1.92385, 2437.68, -121.173, 2405.7, 118.848, 0, 0, 0, 0, 0, 0
14, 2700.00000, 2374.38, -1.95817, 2437.69, -121.189, 2405.08, 118.834, 0, 0, 0, 0, 0, 0
15, 0.00000, 2373.45, -1.99252, 2437.7, -121.204, 2404.47, 118.82, 0, 0, 0, 0, 0, 0
15, 900.00000, 2372.52, -2.02691, 2437.71, -121.22, 2403.85, 118.805, 0, 0, 0, 0, 0, 0
15, 1800.00000, 2370.34, -2.08594, 2437.45, -121.248, 2402.47, 118.782, 0, 0, 0, 0, 0, 0
15, 2700.00000, 2367.52, -2.16974, 2437.66, -121.277, 2400.87, 118.765, 0, 0, 0, 0, 0, 0
16, 0.00000, 2365.56, -2.21899, 2437.13, -121.307, 2399.54, 118.736, 0, 0, 0, 0, 0, 0
16, 900.00000, 2362.47, -2.3103, 2436.55, -121.358, 2397.55, 118.689, 0, 0, 0, 0, 0, 0
16, 1800.00000, 2359.37, -2.35792, 2435.52, -121.386, 2395.56, 118.668, 0, 0, 0, 0, 0, 0
16, 2700.00000, 2356.25, -2.4056, 2434.5, -121.414, 2393.57, 118.646, 0, 0, 0, 0, 0, 0
17, 0.00000, 2353.12, -2.46232, 2433.62, -121.439, 2391.47, 118.626, 0, 0, 0, 0, 0, 0
17, 900.00000, 2350.1, -2.50809, 2432.47, -121.466, 2389.52, 118.597, 0, 0, 0, 0, 0, 0
17, 1800.00000, 2364.64, -2.50396, 2447.38, -121.463, 2404.22, 118.599, 0, 0, 0, 0, 0, 0
17, 2700.00000, 2363.97, -2.51439, 2447.16, -121.469, 2403.76, 118.594, 0, 0, 0, 0, 0, 0
18, 0.00000, 2363.28, -2.52503, 2446.93, -121.475, 2403.28, 118.589, 0, 0, 0, 0, 0, 0
18, 900.00000, 2362.6, -2.53567, 2446.71, -121.481, 2402.81, 118.583, 0, 0, 0, 0, 0, 0
18, 1800.00000, 2363.23, -2.52717, 2446.94, -121.474, 2403.1, 118.586, 0, 0, 0, 0, 0, 0
18, 2700.00000, 2363.86, -2.5185, 2447.16, -121.468, 2403.4, 118.589, 0, 0, 0, 0, 0, 0
19, 0.00000, 2364.49, -2.50983, 2447.38, -121.461, 2403.69, 118.591, 0, 0, 0, 0, 0, 0
19, 900.00000, 2365.13, -2.50116, 2447.61, -121.455, 2403.99, 118.594, 0, 0, 0, 0, 0, 0
19, 1800.00000, 2366.06, -2.4882, 2447.93, -121.445, 2404.46, 118.599, 0, 0, 0, 0, 0, 0
19, 2700.00000, 2366.99, -2.47519, 2448.26, -121.436, 2404.94, 118.603, 0, 0, 0, 0, 0, 0
20, 0.00000, 2367.92, -2.46219, 2448.58, -121.427, 2405.41, 118.608, 0, 0, 0, 0, 0, 0
20, 900.00000, 2368.89, -2.44835, 2448.89, -121.418, 2405.89, 118.612, 0, 0, 0, 0, 0, 0
20, 1800.00000, 2370.64, -2.42611, 2449.39, -121.395, 2406.66, 118.619, 0, 0, 0, 0, 0, 0
20, 2700.00000, 2372.27, -2.40262, 2449.94, -121.379, 2407.53, 118.627, 0, 0, 0, 0, 0, 0
21, 0.00000, 2373.86, -2.37956, 2450.5, -121.364, 2408.44, 118.637, 0, 0, 0, 0, 0, 0
21, 900.00000, 2375.47, -2.35676, 2451.06, -121.348, 2409.31, 118.645, 0, 0, 0, 0, 0, 0
21, 1800.00000, 2377.63, -2.31731, 2451.8, -121.33, 2410.61, 118.664, 0, 0, 0, 0, 0, 0
21, 2700.00000, 2379.88, -2.28486, 2452.58, -121.308, 2411.86, 118.677, 0, 0, 0, 0, 0, 0
22, 0.00000, 2382.12, -2.25233, 2453.35, -121.286, 2413.1, 118.69, 0, 0, 0, 0, 0, 0
22, 900.00000, 2384.4, -2.21916, 2454.11, -121.265, 2414.36, 118.702, 0, 0, 0, 0, 0, 0
22, 1800.00000, 2386.67, -2.18591, 2454.88, -121.243, 2415.65, 118.715, 0, 0, 0, 0, 0, 0
22, 2700.00000, 2389.04, -2.14454, 2455.43, -121.217, 2416.97, 118.725, 0, 0, 0, 0, 0, 0
23, 0.00000, 2391.3, -2.1113, 2456.2, -121.196, 2418.27, 118.738, 0, 0, 0, 0, 0, 0
23, 900.00000, 2393.48, -2.08014, 2457.09, -121.175, 2419.47, 118.759, 0, 0, 0, 0, 0, 0
23, 1800.00000, 2379.77, -2.06977, 2442.45, -121.168, 2405.18, 118.761, 0, 0, 0, 0, 0, 0
23, 2700.00000, 2381.24, -2.04754, 2442.95, -121.154, 2406.05, 118.77, 0, 0, 0, 0, 0, 0
24, 0.00000, 2382.73, -2.02512, 2443.44, -121.141, 2406.93, 118.779, 0, 0, 0, 0, 0, 0
