hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
0, 900.00000, 2372.28, -1.98216, 2432.99, -121.109, 2396.94, 118.856, 90.7673, 145.24, 89.9239, 24.7272, 80.4701, -93.9067
0, 1800.00000, 2373.02, -1.97077, 2433.23, -121.102, 2397.41, 118.862, 90.3645, 145.243, 89.497, 24.73, 80.2522, -93.9075
0, 2700.00000, 2373.75, -1.95932, 2433.47, -121.096, 2397.9, 118.867, 89.9605, 145.246, 89.0702, 24.7327, 80.0322, -93.9082
1, 0.00000, 2374.49, -1.94787, 2433.71, -121.089, 2398.38, 118.872, 89.5566, 145.249, 88.6434, 24.7354, 79.8123, -93.909
1, 900.00000, 2375.26, -1.93585, 2433.93, -121.083, 2398.86, 118.877, 89.1498, 145.252, 88.2174, 24.7381, 79.5913, -93.9101
1, 1800.00000, 2375.62, -1.92977, 2434.05, -121.08, 2399.15, 118.88, 88.9434, 145.253, 87.9792, 24.7386, 79.4608, -93.9118
1, 2700.00000, 2376, -1.92364, 2434.17, -121.077, 2399.44, 118.884, 88.7352, 145.253, 87.7415, 24.739, 79.3297, -93.9136
2, 0.00000, 2376.37, -1.91751, 2434.28, -121.074, 2399.74, 118.887, 88.5269, 145.254, 87.5039, 24.7394, 79.1986, -93.9155
2, 900.00000, 2376.74, -1.91138, 2434.4, -121.071, 2400.03, 118.891, 88.3187, 145.255, 87.2662, 24.7399, 79.0675, -93.9173
2, 1800.00000, 2376.89, -1.90878, 2434.44, -121.07, 2400.15, 118.892, 88.2298, 145.255, 87.1881, 24.7394, 79.0134, -93.9185
2, 2700.00000, 2377.03, -1.90621, 2434.48, -121.068, 2400.27, 118.894, 88.1415, 145.255, 87.1099, 24.7389, 78.9597, -93.9196
3, 0.00000, 2377.18, -1.90364, 2434.53, -121.067, 2400.4, 118.895, 88.0531, 145.255, 87.0317, 24.7384, 78.906, -93.9208
3, 900.00000, 2377.32, -1.90106, 2434.57, -121.066, 2400.52, 118.897, 87.9647, 145.255, 86.9535, 24.7379, 78.8523, -93.9219
3, 1800.00000, 2376.86, -1.90746, 2434.4, -121.071, 2400.3, 118.894, 88.1997, 145.252, 87.2237, 24.734, 78.9595, -93.9241
3, 2700.00000, 2376.4, -1.9139, 2434.24, -121.076, 2400.08, 118.892, 88.4361, 145.249, 87.4939, 24.73, 79.0675, -93.9262
4, 0.00000, 2375.94, -1.92034, 2434.07, -121.081, 2399.86, 118.89, 88.6726, 145.246, 87.764, 24.726, 79.1754, -93.9283
4, 900.00000, 2375.47, -1.92677, 2433.91, -121.086, 2399.63, 118.888, 88.909, 145.243, 88.0342, 24.722, 79.2833, -93.9304
4, 1800.00000, 2374.16, -1.94567, 2433.45, -121.099, 2398.94, 118.881, 89.5975, 145.235, 88.7871, 24.7128, 79.611, -93.9343
4, 2700.00000, 2372.84, -1.96463, 2432.99, -121.112, 2398.25, 118.875, 90.288, 145.227, 89.5398, 24.7034, 79.9397, -93.9382
5, 0.00000, 2371.52, -1.98359, 2432.54, -121.125, 2397.56, 118.868, 90.9787, 145.219, 90.2926, 24.694, 80.2684, -93.9422
5, 900.00000, 2370.2, -2.00254, 2432.08, -121.139, 2396.87, 118.861, 91.6696, 145.211, 91.0454, 24.6845, 80.5972, -93.9462
5, 1800.00000, 2367.61, -2.03988, 2431.23, -121.165, 2395.57, 118.849, 93.027, 145.194, 92.4164, 24.6665, 81.2105, -93.9543
5, 2700.00000, 2365.05, -2.07649, 2430.35, -121.191, 2394.29, 118.837, 94.3784, 145.177, 93.7892, 24.6483, 81.8222, -93.9629
6, 0.00000, 2362.48, -2.11313, 2429.47, -121.217, 2393, 118.825, 95.732, 145.16, 95.1614, 24.6299, 82.4343, -93.9715
6, 900.00000, 2359.93, -2.14989, 2428.59, -121.242, 2391.67, 118.812, 97.0859, 145.141, 96.5335, 24.6115, 83.048, -93.9807
6, 1800.00000, 2358.64, -2.16778, 2428.14, -121.256, 2391.07, 118.807, 97.7531, 145.132, 97.2326, 24.6008, 83.3397, -93.9864
6, 2700.00000, 2372.54, -2.17298, 2442.82, -121.262, 2405.66, 118.809, 98.3577, 145.135, 97.8755, 24.5976, 83.5797, -93.9841
7, 0.00000, 2371.26, -2.19072, 2442.37, -121.275, 2405.05, 118.803, 99.0231, 145.125, 98.5742, 24.5868, 83.8736, -93.9898
7, 900.00000, 2369.97, -2.2086, 2441.92, -121.288, 2404.44, 118.798, 99.6933, 145.115, 99.2727, 24.5761, 84.1676, -93.9954
7, 1800.00000, 2372.45, -2.11409, 2441.5, -121.25, 2405.75, 118.823, 98.3252, 144.683, 97.9729, 24.0803, 82.795, -94.588
7, 2700.00000, 2373.55, -2.07067, 2441.39, -121.23, 2406.37, 118.838, 97.6993, 144.469, 97.375, 23.8384, 82.1509, -94.877
8, 0.00000, 2374.64, -2.02836, 2441.22, -121.212, 2406.96, 118.852, 97.0685, 144.25, 96.7836, 23.5914, 81.5063, -95.1731
8, 900.00000, 2375.67, -1.98708, 2441.09, -121.194, 2407.54, 118.865, 96.45, 144.028, 96.1889, 23.3411, 80.868, -95.4735
8, 1800.00000, 2376.66, -1.95336, 2441.05, -121.179, 2408.12, 118.876, 95.9034, 143.88, 95.6742, 23.1724, 80.3733, -95.6771
8, 2700.00000, 2377.64, -1.91968, 2441.02, -121.165, 2408.7, 118.887, 95.3584, 143.73, 95.1601, 23.0017, 79.88, -95.8833
9, 0.00000, 2378.62, -1.88603, 2440.98, -121.15, 2409.28, 118.898, 94.8147, 143.578, 94.6469, 22.829, 79.3881, -96.0921
9, 900.00000, 2379.51, -1.85438, 2441.07, -121.136, 2409.79, 118.917, 94.2707, 143.422, 94.136, 22.6535, 78.8956, -96.2961
9, 1800.00000, 2379.81, -1.84214, 2440.98, -121.132, 2409.97, 118.92, 94.2388, 143.413, 94.0423, 22.6341, 78.8328, -96.3216
9, 2700.00000, 2380.12, -1.82987, 2440.89, -121.129, 2410.16, 118.922, 94.2063, 143.403, 93.9492, 22.6146, 78.7688, -96.3472
10, 0.00000, 2380.42, -1.8176, 2440.79, -121.125, 2410.35, 118.925, 94.1739, 143.394, 93.8561, 22.5951, 78.7048, -96.3727
10, 900.00000, 2380.73, -1.80534, 2440.7, -121.122, 2410.53, 118.928, 94.1415, 143.385, 93.763, 22.5755, 78.6408, -96.3984
10, 1800.00000, 2381.07, -1.79709, 2440.78, -121.117, 2410.77, 118.932, 93.9202, 143.347, 93.5234, 22.5341, 78.4711, -96.4477
10, 2700.00000, 2381.42, -1.78885, 2440.86, -121.113, 2411.01, 118.936, 93.699, 143.309, 93.2834, 22.4926, 78.3015, -96.4973
11, 0.00000, 2381.77, -1.78061, 2440.94, -121.109, 2411.25, 118.94, 93.4779, 143.272, 93.0435, 22.4508, 78.132, -96.5472
11, 900.00000, 2382.11, -1.77237, 2441.02, -121.104, 2411.49, 118.944, 93.2568, 143.233, 92.8036, 22.4087, 77.9626, -96.5972
11, 1800.00000, 2382.37, -1.76762, 2441.08, -121.102, 2411.68, 118.946, 93.1228, 143.229, 92.64, 22.402, 77.8722, -96.6053
11, 2700.00000, 2382.62, -1.76289, 2441.15, -121.1, 2411.88, 118.948, 92.989, 143.224, 92.4764, 22.3953, 77.7819, -96.6134
12, 0.00000, 2382.87, -1.75815, 2441.21, -121.098, 2412.08, 118.951, 92.8553, 143.219, 92.3127, 22.3886, 77.6916, -96.6215
12, 900.00000, 2383.12, -1.75341, 2441.28, -121.096, 2412.27, 118.953, 92.7215, 143.215, 92.1491, 22.3819, 77.6013, -96.6297
12, 1800.00000, 2383.03, -1.7601, 2441.41, -121.097, 2412.28, 118.954, 92.7644, 143.254, 92.1871, 22.429, 77.668, -96.5726
12, 2700.00000, 2382.94, -1.76682, 2441.54, -121.098, 2412.28, 118.955, 92.8081, 143.294, 92.2245, 22.4762, 77.7354, -96.5157
13, 0.00000, 2382.84, -1.77355, 2441.67, -121.1, 2412.28, 118.956, 92.8519, 143.334, 92.2621, 22.5233, 77.8028, -96.4589
13, 900.00000, 2382.75, -1.78027, 2441.81, -121.101, 2412.28, 118.956, 92.8957, 143.373, 92.2997, 22.5704, 77.8702, -96.4021
13, 1800.00000, 2382.43, -1.79326, 2441.93, -121.105, 2412.14, 118.955, 92.9566, 143.388, 92.3347, 22.5945, 77.9248, -96.3713
13, 2700.00000, 2382.1, -1.80626, 2442.05, -121.108, 2411.99, 118.954, 93.0181, 143.402, 92.3696, 22.6185, 77.9797, -96.3405
14, 0.00000, 2381.77, -1.81928, 2442.17, -121.112, 2411.84, 118.953, 93.0796, 143.416, 92.4045, 22.6426, 78.0346, -96.3098
14, 900.00000, 2381.44, -1.83229, 2442.3, -121.115, 2411.7, 118.952, 93.1412, 143.43, 92.4395, 22.6666, 78.0896, -96.2791
14, 1800.00000, 2380.56, -1.86532, 2442.33, -121.13, 2411.11, 118.939, 93.6664, 143.605, 92.9894, 22.8647, 78.6203, -96.0417
14, 2700.00000, 2379.67, -1.89842, 2442.37, -121.145, 2410.51, 118.926, 94.1946, 143.778, 93.5402, 23.0604, 79.1536, -95.8076
15, 0.00000, 2378.77, -1.93156, 2442.41, -121.159, 2409.92, 118.913, 94.7244, 143.949, 94.0923, 23.2535, 79.6886, -95.5766
15, 900.00000, 2377.87, -1.96472, 2442.45, -121.174, 2409.33, 118.9, 95.2558, 144.118, 94.6456, 23.4441, 80.2254, -95.3488
15, 1800.00000, 2375.76, -2.02201, 2442.24, -121.2, 2407.99, 118.879, 96.3509, 144.285, 95.7258, 23.6414, 81.0704, -95.1093
15, 2700.00000, 2373, -2.10409, 2442.5, -121.228, 2406.44, 118.863, 97.4483, 144.423, 96.8074, 23.8321, 81.9171, -94.8694
16, 0.00000, 2371.12, -2.15157, 2442.03, -121.255, 2405.16, 118.836, 98.5459, 144.591, 97.8921, 24.0179, 82.7656, -94.6452
16, 900.00000, 2368.16, -2.23846, 2441.55, -121.304, 2403.25, 118.794, 100.713, 145.105, 99.9896, 24.5741, 84.6625, -93.9838
16, 1800.00000, 2365.17, -2.28471, 2440.6, -121.33, 2401.32, 118.774, 102.38, 145.088, 101.593, 24.5627, 85.5405, -93.9812
16, 2700.00000, 2362.16, -2.33103, 2439.65, -121.357, 2399.39, 118.753, 104.05, 145.07, 103.195, 24.5507, 86.4191, -93.9789
17, 0.00000, 2359.14, -2.38638, 2438.85, -121.381, 2397.35, 118.735, 105.723, 145.042, 104.796, 24.5405, 87.2987, -93.9755
17, 900.00000, 2356.23, -2.43076, 2437.77, -121.407, 2395.46, 118.707, 107.391, 145.024, 106.4, 24.5285, 88.1786, -93.982
17, 1800.00000, 2370.79, -2.42689, 2452.7, -121.404, 2410.17, 118.709, 107.686, 145.034, 106.709, 24.5351, 88.3298, -93.9732
17, 2700.00000, 2370.14, -2.43703, 2452.49, -121.409, 2409.72, 118.704, 108.049, 145.031, 107.077, 24.5327, 88.534, -93.9721
18, 0.00000, 2369.48, -2.44737, 2452.29, -121.415, 2409.26, 118.699, 108.417, 145.026, 107.445, 24.5303, 88.741, -93.9711
18, 900.00000, 2368.82, -2.45771, 2452.08, -121.42, 2408.8, 118.694, 108.786, 145.022, 107.813, 24.5279, 88.9481, -93.97
18, 1800.00000, 2369.42, -2.44941, 2452.29, -121.414, 2409.09, 118.696, 108.47, 145.027, 107.5, 24.5328, 88.8106, -93.9676
18, 2700.00000, 2370.03, -2.44094, 2452.5, -121.408, 2409.38, 118.699, 108.15, 145.033, 107.187, 24.5378, 88.6711, -93.9651
19, 0.00000, 2370.64, -2.43247, 2452.71, -121.402, 2409.67, 118.702, 107.829, 145.038, 106.874, 24.5427, 88.5316, -93.9627
19, 900.00000, 2371.25, -2.424, 2452.92, -121.396, 2409.97, 118.704, 107.509, 145.043, 106.562, 24.5476, 88.3921, -93.9602
19, 1800.00000, 2372.15, -2.41132, 2453.22, -121.387, 2410.43, 118.709, 107.036, 145.05, 106.088, 24.5542, 88.1729, -93.9575
19, 2700.00000, 2373.05, -2.39861, 2453.52, -121.378, 2410.9, 118.713, 106.562, 145.058, 105.613, 24.5608, 87.9533, -93.9548
20, 0.00000, 2373.94, -2.3859, 2453.82, -121.369, 2411.36, 118.717, 106.088, 145.065, 105.139, 24.5674, 87.7337, -93.9521
20, 900.00000, 2374.88, -2.37237, 2454.1, -121.361, 2411.83, 118.721, 105.609, 145.073, 104.666, 24.5741, 87.5128, -93.9498
20, 1800.00000, 2376.57, -2.35065, 2454.56, -121.338, 2412.58, 118.727, 104.781, 145.084, 103.83, 24.5918, 87.1156, -93.9484
20, 2700.00000, 2378.15, -2.32769, 2455.06, -121.323, 2413.44, 118.735, 103.951, 145.096, 102.998, 24.6022, 86.7169, -93.9451
21, 0.00000, 2379.68, -2.30516, 2455.58, -121.309, 2414.33, 118.744, 103.125, 145.108, 102.163, 24.6121, 86.3173, -93.9409
21, 900.00000, 2381.23, -2.28287, 2456.09, -121.294, 2415.18, 118.752, 102.301, 145.119, 101.328, 24.6223, 85.9227, -93.9375
21, 1800.00000, 2383.31, -2.24421, 2456.78, -121.277, 2416.45, 118.771, 101.125, 145.141, 100.168, 24.6322, 85.3513, -93.9275
21, 2700.00000, 2385.48, -2.21255, 2457.5, -121.256, 2417.67, 118.783, 99.9567, 145.156, 99.0062, 24.6452, 84.7845, -93.9238
22, 0.00000, 2387.64, -2.18081, 2458.22, -121.236, 2418.89, 118.794, 98.7872, 145.17, 97.8451, 24.6579, 84.2166, -93.9201
22, 900.00000, 2389.84, -2.14842, 2458.91, -121.215, 2420.11, 118.806, 97.6159, 145.184, 96.6849, 24.6705, 83.6484, -93.917
22, 1800.00000, 2392.03, -2.11601, 2459.63, -121.195, 2421.38, 118.819, 96.4251, 145.198, 95.518, 24.682, 83.0636, -93.9145
22, 2700.00000, 2394.32, -2.07548, 2460.12, -121.17, 2422.67, 118.828, 95.2305, 145.218, 94.3529, 24.6974, 82.4788, -93.9156
23, 0.00000, 2396.5, -2.04308, 2460.83, -121.15, 2423.93, 118.84, 94.0404, 145.23, 93.1867, 24.7082, 81.8938, -93.9133
