hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,V4,VAngle4,I1,IAngle1,I2,IAngle2,I3,IAngle3,I4,IAngle4
0, 900.00000, 2371.02, -2.82143, 2437.2, -121.646, 2398.2, 118.114, 0, 0, 0.0000137366, -92.5074, 0.0000140002, 148.333, 0.0000139044, 27.8288, 0, 0
0, 1800.00000, 2372.01, -2.80506, 2437.62, -121.638, 2398.97, 118.124, 0, 0, 0.000013742, -92.4935, 0.0000140033, 148.341, 0.0000139086, 27.8416, 0, 0
0, 2700.00000, 2372.99, -2.7886, 2438.04, -121.63, 2399.75, 118.135, 0, 0, 0.0000137474, -92.4796, 0.0000140063, 148.349, 0.0000139127, 27.8545, 0, 0
1, 0.00000, 2373.98, -2.77215, 2438.45, -121.622, 2400.53, 118.145, 0, 0, 0.0000137528, -92.4657, 0.0000140094, 148.357, 0.0000139169, 27.8674, 0, 0
1, 900.00000, 2374.98, -2.75527, 2438.86, -121.613, 2401.31, 118.156, 0, 0, 0.0000137583, -92.4514, 0.0000140124, 148.366, 0.000013921, 27.8802, 0, 0
1, 1800.00000, 2375.47, -2.74657, 2439.06, -121.61, 2401.79, 118.163, 0, 0, 0.0000137611, -92.4444, 0.0000140139, 148.37, 0.0000139235, 27.8879, 0, 0
1, 2700.00000, 2375.95, -2.73779, 2439.25, -121.607, 2402.27, 118.169, 0, 0, 0.0000137639, -92.4373, 0.0000140154, 148.373, 0.0000139259, 27.8956, 0, 0
2, 0.00000, 2376.44, -2.72901, 2439.45, -121.604, 2402.75, 118.176, 0, 0, 0.0000137667, -92.4301, 0.0000140168, 148.377, 0.0000139284, 27.9033, 0, 0
2, 900.00000, 2376.92, -2.72023, 2439.64, -121.601, 2403.23, 118.183, 0, 0, 0.0000137695, -92.423, 0.0000140183, 148.381, 0.0000139308, 27.911, 0, 0
2, 1800.00000, 2377.11, -2.71683, 2439.72, -121.6, 2403.42, 118.186, 0, 0, 0.0000137706, -92.4202, 0.0000140189, 148.383, 0.0000139318, 27.9141, 0, 0
2, 2700.00000, 2377.3, -2.71345, 2439.81, -121.598, 2403.61, 118.189, 0, 0, 0.0000137717, -92.4175, 0.0000140195, 148.384, 0.0000139328, 27.9171, 0, 0
3, 0.00000, 2377.49, -2.71008, 2439.89, -121.597, 2403.8, 118.191, 0, 0, 0.0000137728, -92.4147, 0.0000140201, 148.386, 0.0000139337, 27.9202, 0, 0
3, 900.00000, 2377.67, -2.70671, 2439.97, -121.596, 2403.99, 118.194, 0, 0, 0.0000137739, -92.412, 0.0000140207, 148.387, 0.0000139347, 27.9233, 0, 0
3, 1800.00000, 2377.03, -2.71655, 2439.69, -121.602, 2403.62, 118.19, 0, 0, 0.0000137705, -92.4207, 0.0000140186, 148.382, 0.0000139326, 27.9169, 0, 0
3, 2700.00000, 2376.39, -2.72647, 2439.41, -121.609, 2403.25, 118.185, 0, 0, 0.0000137672, -92.4295, 0.0000140166, 148.376, 0.0000139305, 27.9105, 0, 0
4, 0.00000, 2375.74, -2.73638, 2439.13, -121.615, 2402.87, 118.181, 0, 0, 0.0000137638, -92.4383, 0.0000140146, 148.371, 0.0000139283, 27.904, 0, 0
4, 900.00000, 2375.1, -2.7463, 2438.85, -121.621, 2402.5, 118.176, 0, 0, 0.0000137605, -92.447, 0.0000140126, 148.365, 0.0000139262, 27.8976, 0, 0
4, 1800.00000, 2373.29, -2.77462, 2438.06, -121.638, 2401.36, 118.162, 0, 0, 0.0000137509, -92.4719, 0.0000140069, 148.35, 0.0000139198, 27.8782, 0, 0
4, 2700.00000, 2371.48, -2.80304, 2437.27, -121.656, 2400.22, 118.147, 0, 0, 0.0000137413, -92.4968, 0.0000140013, 148.334, 0.0000139134, 27.8588, 0, 0
5, 0.00000, 2369.66, -2.83146, 2436.49, -121.673, 2399.08, 118.133, 0, 0, 0.0000137318, -92.5218, 0.0000139956, 148.319, 0.0000139071, 27.8393, 0, 0
