hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
0, 900.00000, 2371.02, -2.82143, 2437.2, -121.646, 2398.2, 118.114, 0.000013762, 88.0144, 0.0000143131, -29.9816, 0.0000140808, -151.699
0, 1800.00000, 2372.01, -2.80506, 2437.62, -121.638, 2398.97, 118.124, 0.0000137389, 90, 0.000014107, -30.4655, 0.0000140808, -151.699
0, 2700.00000, 2372.99, -2.7886, 2438.04, -121.63, 2399.75, 118.135, 0.000013762, 88.0144, 0.0000141533, -32.6192, 0.0000138714, -151.232
1, 0.00000, 2373.98, -2.77215, 2438.45, -121.622, 2400.53, 118.145, 0.0000137538, 90, 0.0000144337, -30.8014, 0.0000139877, -150.376
1, 900.00000, 2374.98, -2.75527, 2438.86, -121.613, 2401.31, 118.156, 0.0000137918, 88.0187, 0.0000144828, -32.9052, 0.0000137809, -149.886
1, 1800.00000, 2375.47, -2.74657, 2439.06, -121.61, 2401.79, 118.163, 0.0000137687, 90, 0.0000141533, -32.6192, 0.0000138714, -151.232
1, 2700.00000, 2375.95, -2.73779, 2439.25, -121.607, 2402.27, 118.169, 0.0000137687, 90, 0.0000145572, -31.6075, 0.0000141954, -150.852
2, 0.00000, 2376.44, -2.72901, 2439.45, -121.604, 2402.75, 118.176, 0.0000137918, 88.0187, 0.000014107, -30.4655, 0.0000136483, -152.987
2, 900.00000, 2376.92, -2.72023, 2439.64, -121.601, 2403.23, 118.183, 0.0000137687, 90, 0.0000144337, -30.8014, 0.0000137809, -149.886
2, 1800.00000, 2377.11, -2.71683, 2439.72, -121.6, 2403.42, 118.186, 0.0000137918, 88.0187, 0.0000139021, -30.9638, 0.0000138714, -151.232
2, 2700.00000, 2377.3, -2.71345, 2439.81, -121.598, 2403.61, 118.189, 0.0000137918, 88.0187, 0.0000139021, -30.9638, 0.0000139877, -150.376
3, 0.00000, 2377.49, -2.71008, 2439.89, -121.597, 2403.8, 118.191, 0.0000137687, 90, 0.0000143547, -32.1063, 0.0000140808, -151.699
3, 900.00000, 2377.67, -2.70671, 2439.97, -121.596, 2403.99, 118.194, 0.0000137918, 88.0187, 0.0000142294, -31.293, 0.0000138714, -151.232
