hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
4416, 900.00000, 2461.8, -0.00165185, 2461.81, -120.001, 2461.8, 119.999, 533.601, -19.7169, 349.361, -136.632, 428.645, 103.79
4416, 1800.00000, 2461.8, -0.00163273, 2461.81, -120.001, 2461.8, 119.999, 526.848, -19.5434, 345.108, -136.412, 423.455, 103.973
4416, 2700.00000, 2461.8, -0.00161393, 2461.81, -120.001, 2461.81, 119.999, 520.218, -19.3691, 340.861, -136.186, 418.278, 104.161
4417, 0.00000, 2461.8, -0.00159503, 2461.81, -120.001, 2461.81, 119.999, 513.56, -19.1899, 336.619, -135.955, 413.092, 104.353
4417, 900.00000, 2461.8, -0.00157614, 2461.81, -120.001, 2461.81, 119.999, 506.928, -19.0113, 331.743, -135.894, 407.263, 104.406
4417, 1800.00000, 2461.8, -0.00156322, 2461.81, -120.001, 2461.81, 119.999, 502.385, -18.884, 328.841, -135.729, 403.804, 104.54
4417, 2700.00000, 2461.8, -0.00155025, 2461.81, -120.001, 2461.81, 119.999, 497.829, -18.7542, 325.935, -135.561, 400.337, 104.676
4418, 0.00000, 2461.8, -0.00153728, 2461.81, -120.001, 2461.81, 119.999, 493.276, -18.6224, 323.032, -135.39, 396.871, 104.814
4418, 900.00000, 2461.8, -0.0015239, 2461.81, -120.001, 2461.81, 119.999, 488.586, -18.4852, 320.132, -135.216, 393.317, 104.958
4418, 1800.00000, 2461.8, -0.00151566, 2461.81, -120.001, 2461.81, 119.999, 485.695, -18.3973, 318.311, -135.107, 391.004, 105.052
4418, 2700.00000, 2461.8, -0.00150738, 2461.81, -120.001, 2461.81, 119.999, 482.791, -18.308, 316.492, -134.997, 388.682, 105.147
4419, 0.00000, 2461.8, -0.00149911, 2461.81, -120.001, 2461.81, 119.999, 479.889, -18.2178, 314.673, -134.886, 386.361, 105.243
4419, 900.00000, 2461.8, -0.00149083, 2461.81, -120.001, 2461.81, 119.999, 476.987, -18.1266, 312.856, -134.774, 384.041, 105.34
4419, 1800.00000, 2461.8, -0.00149041, 2461.81, -120.001, 2461.81, 119.999, 476.827, -18.1167, 312.833, -134.776, 383.697, 105.352
4419, 2700.00000, 2461.8, -0.00149002, 2461.81, -120.001, 2461.81, 119.999, 476.676, -18.1071, 312.81, -134.778, 383.357, 105.363
4420, 0.00000, 2461.8, -0.00148963, 2461.81, -120.001, 2461.81, 119.999, 476.526, -18.0975, 312.787, -134.78, 383.017, 105.375
4420, 900.00000, 2461.8, -0.00148925, 2461.81, -120.001, 2461.81, 119.999, 476.375, -18.0879, 312.764, -134.782, 382.677, 105.386
4420, 1800.00000, 2461.8, -0.00149604, 2461.81, -120.001, 2461.81, 119.999, 478.726, -18.1521, 314.391, -134.89, 384.099, 105.32
4420, 2700.00000, 2461.8, -0.00150286, 2461.81, -120.001, 2461.81, 119.999, 481.086, -18.2161, 316.02, -134.997, 385.526, 105.255
4421, 0.00000, 2461.8, -0.00150968, 2461.81, -120.001, 2461.81, 119.999, 483.448, -18.2795, 317.65, -135.103, 386.953, 105.189
4421, 900.00000, 2461.8, -0.0015165, 2461.81, -120.001, 2461.81, 119.999, 485.809, -18.3424, 319.281, -135.208, 388.38, 105.125
4421, 1800.00000, 2461.8, -0.00152291, 2461.81, -120.001, 2461.81, 119.999, 488.024, -18.3992, 320.839, -135.309, 389.618, 105.067
4421, 2700.00000, 2461.8, -0.00152932, 2461.81, -120.001, 2461.81, 119.999, 490.238, -18.4555, 322.398, -135.409, 390.855, 105.01
4422, 0.00000, 2461.8, -0.00153572, 2461.81, -120.001, 2461.81, 119.999, 492.454, -18.5115, 323.958, -135.508, 392.092, 104.953
4422, 900.00000, 2461.8, -0.00154212, 2461.81, -120.001, 2461.81, 119.999, 494.669, -18.567, 325.519, -135.606, 393.33, 104.897
4422, 1800.00000, 2461.8, -0.00154899, 2461.81, -120.001, 2461.81, 119.999, 497.537, -18.7924, 326.478, -135.917, 394.617, 104.656
4422, 2700.00000, 2461.8, -0.00151666, 2461.81, -120.001, 2461.81, 119.999, 488.663, -19.3019, 324.544, -136.385, 392.964, 104.299
4423, 0.00000, 2461.8, -0.00150242, 2461.81, -120.001, 2461.81, 119.999, 485.293, -19.7047, 322.439, -136.854, 391.085, 103.941
4423, 900.00000, 2461.8, -0.00149587, 2461.81, -120.001, 2461.81, 119.999, 484.209, -20.0397, 322.541, -137.225, 391.478, 103.658
4423, 1800.00000, 2461.8, -0.00148929, 2461.81, -120.001, 2461.81, 119.999, 483.3, -20.4305, 322.492, -137.652, 392.138, 103.319
4423, 2700.00000, 2461.8, -0.00148271, 2461.81, -120.001, 2461.81, 119.999, 482.419, -20.8233, 322.458, -138.079, 392.812, 102.981
4424, 0.00000, 2461.8, -0.00147615, 2461.81, -120.001, 2461.8, 119.999, 481.566, -21.2181, 322.44, -138.506, 393.498, 102.644
4424, 900.00000, 2461.8, -0.00146959, 2461.81, -120.001, 2461.8, 119.999, 480.74, -21.6148, 322.437, -138.933, 394.197, 102.309
4424, 1800.00000, 2461.8, -0.00147718, 2461.81, -120.001, 2461.8, 119.999, 484.001, -21.8439, 325.117, -139.184, 397.661, 102.102
4424, 2700.00000, 2461.8, -0.00148478, 2461.81, -120.001, 2461.8, 119.999, 487.273, -22.0703, 327.8, -139.431, 401.134, 101.898
4425, 0.00000, 2461.8, -0.00149238, 2461.81, -120.001, 2461.8, 119.999, 490.551, -22.2938, 330.488, -139.674, 404.611, 101.697
4425, 900.00000, 2461.79, -0.00149997, 2461.81, -120.001, 2461.8, 119.999, 493.834, -22.5145, 333.182, -139.914, 408.092, 101.499
4425, 1800.00000, 2461.79, -0.0015077, 2461.81, -120.001, 2461.8, 119.999, 496.889, -22.6549, 335.613, -140.063, 411.283, 101.369
4425, 2700.00000, 2461.79, -0.00151538, 2461.8, -120.001, 2461.8, 119.999, 499.93, -22.793, 338.037, -140.209, 414.365, 101.244
4426, 0.00000, 2461.79, -0.00152308, 2461.8, -120.001, 2461.8, 119.999, 502.98, -22.9299, 340.468, -140.353, 417.458, 101.12
4426, 900.00000, 2461.79, -0.00153078, 2461.8, -120.001, 2461.8, 119.999, 506.032, -23.0652, 342.9, -140.496, 420.553, 100.998
4426, 1800.00000, 2461.79, -0.00153692, 2461.8, -120.001, 2461.8, 119.999, 508.418, -23.1588, 344.59, -140.587, 423.064, 100.909
4426, 2700.00000, 2476.8, -0.00155344, 2476.82, -120.001, 2476.81, 119.999, 510.689, -23.1382, 346.086, -140.535, 425.252, 100.944
4427, 0.00000, 2476.8, -0.00155959, 2476.81, -120.001, 2476.81, 119.999, 513.066, -23.2301, 347.772, -140.625, 427.76, 100.856
4427, 900.00000, 2476.8, -0.00156576, 2476.81, -120.001, 2476.81, 119.999, 515.453, -23.3214, 349.461, -140.714, 430.271, 100.77
4427, 1800.00000, 2476.8, -0.00157636, 2476.81, -120.001, 2476.81, 119.999, 519.098, -23.3611, 351.878, -140.752, 433.556, 100.719
4427, 2700.00000, 2476.8, -0.00158696, 2476.81, -120.001, 2476.81, 119.999, 522.745, -23.4005, 354.294, -140.789, 436.845, 100.67
4428, 0.00000, 2476.8, -0.00159756, 2476.81, -120.001, 2476.81, 119.999, 526.394, -23.4396, 356.711, -140.826, 440.134, 100.62
4428, 900.00000, 2476.8, -0.00160816, 2476.81, -120.001, 2476.81, 119.999, 530.043, -23.4784, 359.129, -140.863, 443.423, 100.572
4428, 1800.00000, 2476.8, -0.00161371, 2476.81, -120.001, 2476.81, 119.999, 531.969, -23.5027, 360.351, -140.881, 445.286, 100.542
4428, 2700.00000, 2476.8, -0.00161923, 2476.81, -120.001, 2476.81, 119.999, 533.889, -23.5266, 361.573, -140.899, 447.144, 100.513
4429, 0.00000, 2476.8, -0.00162476, 2476.81, -120.001, 2476.81, 119.999, 535.809, -23.5505, 362.794, -140.918, 449.003, 100.484
4429, 900.00000, 2476.8, -0.00163029, 2476.81, -120.001, 2476.81, 119.999, 537.729, -23.5742, 364.015, -140.936, 450.863, 100.455
4429, 1800.00000, 2476.8, -0.0016357, 2476.81, -120.001, 2476.81, 119.999, 539.523, -23.5763, 365.187, -140.939, 452.411, 100.444
4429, 2700.00000, 2476.8, -0.00164111, 2476.81, -120.001, 2476.81, 119.999, 541.317, -23.5785, 366.358, -140.942, 453.958, 100.432
4430, 0.00000, 2476.8, -0.00164652, 2476.81, -120.001, 2476.81, 119.999, 543.11, -23.5807, 367.529, -140.945, 455.506, 100.421
4430, 900.00000, 2476.8, -0.00165193, 2476.81, -120.001, 2476.81, 119.999, 544.905, -23.5829, 368.701, -140.948, 457.053, 100.41
4430, 1800.00000, 2476.8, -0.00165847, 2476.81, -120.001, 2476.81, 119.999, 547.042, -23.5781, 370.041, -140.95, 458.735, 100.4
4430, 2700.00000, 2476.8, -0.00166501, 2476.81, -120.001, 2476.81, 119.999, 549.18, -23.5735, 371.382, -140.952, 460.417, 100.39
4431, 0.00000, 2476.8, -0.00167156, 2476.81, -120.001, 2476.81, 119.999, 551.319, -23.569, 372.722, -140.954, 462.1, 100.38
4431, 900.00000, 2476.8, -0.0016781, 2476.81, -120.001, 2476.81, 119.999, 553.458, -23.5647, 374.063, -140.956, 463.782, 100.37
4431, 1800.00000, 2476.8, -0.00169049, 2476.81, -120.001, 2476.81, 119.999, 557.337, -23.516, 376.45, -140.923, 466.403, 100.389
4431, 2700.00000, 2476.8, -0.0017029, 2476.81, -120.001, 2476.81, 119.999, 561.224, -23.4686, 378.838, -140.89, 469.026, 100.408
4432, 0.00000, 2476.8, -0.00171531, 2476.81, -120.001, 2476.81, 119.999, 565.115, -23.4222, 381.226, -140.858, 471.65, 100.427
4432, 900.00000, 2476.8, -0.00172772, 2476.81, -120.001, 2476.81, 119.999, 569.009, -23.3768, 383.614, -140.827, 474.276, 100.445
4432, 1800.00000, 2476.8, -0.00173945, 2476.81, -120.001, 2476.81, 119.999, 572.525, -23.2976, 385.509, -140.765, 476.227, 100.49
4432, 2700.00000, 2476.8, -0.00175117, 2476.81, -120.001, 2476.81, 119.999, 576.044, -23.2196, 387.402, -140.704, 478.177, 100.535
4433, 0.00000, 2476.8, -0.0017629, 2476.81, -120.001, 2476.81, 119.999, 579.567, -23.1429, 389.295, -140.643, 480.127, 100.58
4433, 900.00000, 2476.8, -0.00177463, 2476.81, -120.001, 2476.81, 119.998, 583.095, -23.0674, 391.189, -140.583, 482.079, 100.625
4433, 1800.00000, 2476.8, -0.00179849, 2476.81, -120.001, 2476.81, 119.998, 589.918, -22.8367, 395.487, -140.35, 486.252, 100.802
4433, 2700.00000, 2476.8, -0.00181258, 2476.81, -120.001, 2476.81, 119.998, 593.88, -22.6855, 396.952, -140.224, 487.54, 100.902
4434, 0.00000, 2476.8, -0.00182667, 2476.81, -120.001, 2476.81, 119.998, 597.844, -22.5366, 398.413, -140.099, 488.825, 101.001
4434, 900.00000, 2476.8, -0.00184077, 2476.81, -120.001, 2476.81, 119.998, 601.818, -22.3902, 399.877, -139.975, 490.112, 101.1
4434, 1800.00000, 2476.8, -0.00185155, 2476.81, -120.001, 2476.81, 119.998, 604.491, -22.1949, 400.355, -139.8, 489.977, 101.246
4434, 2700.00000, 2476.8, -0.00187103, 2476.81, -120.001, 2476.81, 119.998, 609.688, -21.9282, 403.31, -139.521, 492.369, 101.472
4435, 0.00000, 2476.8, -0.00191305, 2476.81, -120.001, 2476.81, 119.998, 621.733, -21.5503, 406.024, -139.24, 494.589, 101.702
4435, 900.00000, 2476.8, -0.00190468, 2476.81, -120.001, 2476.81, 119.998, 618.751, -21.4897, 404.158, -139.172, 492.034, 101.768
4435, 1800.00000, 2476.8, -0.00190365, 2476.81, -120.001, 2476.81, 119.998, 618.363, -21.4769, 404.028, -139.172, 491.35, 101.783
4435, 2700.00000, 2476.8, -0.00190265, 2476.81, -120.001, 2476.81, 119.998, 617.987, -21.4646, 403.901, -139.172, 490.67, 101.798
4436, 0.00000, 2476.8, -0.00190166, 2476.81, -120.001, 2476.81, 119.998, 617.611, -21.4523, 403.773, -139.173, 489.991, 101.812
4436, 900.00000, 2476.8, -0.00190066, 2476.81, -120.001, 2476.81, 119.998, 617.235, -21.44, 403.646, -139.173, 489.312, 101.827
4436, 1800.00000, 2476.8, -0.00189262, 2476.81, -120.001, 2476.81, 119.998, 614.374, -21.3811, 401.856, -139.107, 486.886, 101.891
4436, 2700.00000, 2476.8, -0.00188455, 2476.81, -120.001, 2476.81, 119.998, 611.503, -21.3213, 400.065, -139.039, 484.457, 101.956
4437, 0.00000, 2476.8, -0.00187648, 2476.81, -120.001, 2476.81, 119.998, 608.632, -21.261, 398.275, -138.972, 482.029, 102.021
4437, 900.00000, 2476.8, -0.0018684, 2476.81, -120.001, 2476.81, 119.998, 605.762, -21.2003, 396.486, -138.903, 479.601, 102.087
4437, 1800.00000, 2476.8, -0.00184703, 2476.81, -120.001, 2476.81, 119.999, 598.218, -21.0492, 391.508, -138.696, 474.18, 102.246
4437, 2700.00000, 2476.8, -0.00182559, 2476.81, -120.001, 2476.81, 119.999, 590.655, -20.8941, 386.531, -138.483, 468.755, 102.408
4438, 0.00000, 2476.8, -0.00180413, 2476.82, -120.001, 2476.81, 119.999, 583.096, -20.7357, 381.56, -138.266, 463.335, 102.573
4438, 900.00000, 2476.8, -0.00178267, 2476.82, -120.001, 2476.81, 119.999, 575.542, -20.5739, 376.594, -138.043, 457.918, 102.742
4438, 1800.00000, 2476.8, -0.00175798, 2476.82, -120.001, 2476.81, 119.999, 566.849, -20.3804, 370.952, -137.786, 451.497, 102.945
4438, 2700.00000, 2476.8, -0.00173335, 2476.82, -120.001, 2476.81, 119.999, 558.193, -20.1832, 365.322, -137.523, 445.093, 103.152
4439, 0.00000, 2476.81, -0.00170881, 2476.82, -120.001, 2476.81, 119.999, 549.579, -19.9822, 359.704, -137.252, 438.711, 103.365
4439, 900.00000, 2476.81, -0.00168416, 2476.82, -120.001, 2476.81, 119.999, 540.936, -19.7744, 354.088, -136.973, 432.319, 103.584
4439, 1800.00000, 2476.81, -0.00166397, 2476.82, -120.001, 2476.82, 119.999, 533.851, -19.596, 349.64, -136.749, 426.921, 103.77
4439, 2700.00000, 2476.81, -0.00164424, 2476.82, -120.001, 2476.82, 119.999, 526.938, -19.4182, 345.199, -136.521, 421.557, 103.961
4440, 0.00000, 2476.81, -0.00162441, 2476.82, -120.001, 2476.82, 119.999, 519.996, -19.2355, 340.763, -136.287, 416.183, 104.156
