hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)"
4608, 900.00000, 1368.57, 466.974, 962.641, 276.858, 1136.69, 317.83
4608, 1800.00000, 1367.37, 462.821, 965.419, 274.507, 1138.55, 315.601
4608, 2700.00000, 1353.42, 454.321, 955.704, 268.427, 1127.72, 309.476
4609, 0.00000, 1339.39, 445.855, 945.889, 262.328, 1114.56, 305.259
4609, 900.00000, 1325.39, 437.371, 936.159, 256.259, 1103.78, 299.19
4609, 1800.00000, 1309.85, 431.218, 927.571, 250.993, 1093.84, 293.711
4609, 2700.00000, 1297.64, 423.831, 918.977, 245.673, 1084.24, 288.329
4610, 0.00000, 1285.3, 416.38, 910.407, 240.371, 1074.59, 282.929
4610, 900.00000, 1272.96, 408.941, 901.836, 235.076, 1064.93, 277.536
4610, 1800.00000, 1265.11, 404.399, 896.224, 231.836, 1058.59, 274.172
4610, 2700.00000, 1257.86, 400.098, 889.236, 230.863, 1053.02, 271.114
4611, 0.00000, 1250.78, 395.835, 884.331, 227.848, 1047.36, 267.958
4611, 900.00000, 1243.63, 391.545, 879.394, 224.82, 1041.7, 264.808
4611, 1800.00000, 1239.94, 389.44, 876.733, 223.353, 1038.63, 263.231
4611, 2700.00000, 1236.74, 387.499, 874.534, 222.021, 1036.03, 261.796
4612, 0.00000, 1233.54, 385.561, 872.335, 220.69, 1033.43, 260.363
4612, 900.00000, 1230.34, 383.624, 870.136, 219.359, 1030.83, 258.93
4612, 1800.00000, 1230.6, 383.877, 870.213, 219.594, 1030.78, 259.051
4612, 2700.00000, 1231.36, 384.301, 870.773, 219.968, 1031.23, 259.321
4613, 0.00000, 1232.13, 384.726, 871.334, 220.342, 1031.68, 259.591
4613, 900.00000, 1232.9, 385.151, 871.895, 220.716, 1032.13, 259.862
4613, 1800.00000, 1231.82, 384.318, 871.338, 220.373, 1030.76, 259.072
4613, 2700.00000, 1230.43, 383.382, 870.481, 219.944, 1029.08, 258.189
4614, 0.00000, 1229.03, 382.446, 869.622, 219.514, 1027.39, 257.306
4614, 900.00000, 1227.63, 381.509, 868.764, 219.084, 1025.71, 256.423
4614, 1800.00000, 1231.82, 386.212, 870.288, 222.458, 1027.82, 259.723
4614, 2700.00000, 1217.36, 388.086, 864.478, 225.441, 1022.48, 262.611
4615, 0.00000, 1193.89, 391.239, 857.068, 228.911, 1015.04, 265.729
4615, 900.00000, 1184.06, 394.503, 851.802, 232.29, 1010.31, 269.017
4615, 1800.00000, 1180.05, 401.451, 852.124, 238.327, 1012.38, 275.417
4615, 2700.00000, 1177.03, 408.727, 853.403, 244.645, 1015.42, 282.108
4616, 0.00000, 1174.03, 416.018, 854.678, 250.966, 1018.45, 288.803
4616, 900.00000, 1171.02, 423.32, 855.948, 257.29, 1021.48, 295.501
4616, 1800.00000, 1175.99, 430.328, 861.481, 262.954, 1028.22, 301.321
4616, 2700.00000, 1180.61, 437.235, 866.636, 268.51, 1034.6, 307.045
4617, 0.00000, 1185.22, 444.142, 871.787, 274.068, 1040.98, 312.773
4617, 900.00000, 1189.83, 451.05, 876.937, 279.629, 1047.35, 318.506
4617, 1800.00000, 1198.5, 457.984, 883.978, 284.858, 1055.67, 323.994
4617, 2700.00000, 1207.06, 464.89, 890.889, 290.052, 1063.88, 329.457
4618, 0.00000, 1215.62, 471.8, 897.8, 295.25, 1072.08, 334.926
4618, 900.00000, 1224.17, 478.714, 904.708, 300.453, 1080.28, 340.4
4618, 1800.00000, 1231.56, 484.638, 910.37, 304.787, 1087.32, 345.156
4618, 2700.00000, 1238.75, 490.449, 918.145, 307.254, 1094.02, 349.742
4619, 0.00000, 1245.83, 496.261, 923.519, 311.502, 1100.81, 354.431
4619, 900.00000, 1252.96, 502.11, 928.944, 315.783, 1107.6, 359.122
4619, 1800.00000, 1264.13, 508.929, 936.791, 320.622, 1116.78, 364.303
4619, 2700.00000, 1275.72, 515.992, 944.791, 325.516, 1126.16, 369.559
4620, 0.00000, 1286.98, 522.843, 952.766, 330.4, 1135.46, 374.782
4620, 900.00000, 1298.31, 529.754, 960.753, 335.298, 1144.79, 380.034
4620, 1800.00000, 1308.17, 535.476, 967.636, 339.165, 1153.19, 384.463
4620, 2700.00000, 1320.96, 539.919, 974.113, 342.857, 1161.43, 388.808
4621, 0.00000, 1330.49, 545.522, 980.775, 346.665, 1169.54, 393.146
4621, 900.00000, 1340.11, 551.2, 987.418, 350.469, 1177.7, 397.513
4621, 1800.00000, 1352.49, 557.065, 996.109, 354.043, 1188.69, 402.177
4621, 2700.00000, 1364.87, 562.947, 1004.8, 357.621, 1199.69, 406.856
