hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
4608, 900.00000, 2476.81, -0.0018282, 2476.82, -120.001, 2476.81, 119.998, 583.834, -18.8422, 404.415, -136.047, 476.536, 104.377
4608, 1800.00000, 2476.81, -0.00182662, 2476.82, -120.001, 2476.81, 119.998, 582.838, -18.7015, 405.233, -135.874, 477.017, 104.505
4608, 2700.00000, 2476.81, -0.00180798, 2476.82, -120.001, 2476.81, 119.998, 576.401, -18.5579, 400.791, -135.69, 472.143, 104.653
4609, 0.00000, 2476.81, -0.00178926, 2476.82, -120.001, 2476.81, 119.999, 569.946, -18.4134, 396.312, -135.502, 466.568, 104.682
4609, 900.00000, 2476.81, -0.00177057, 2476.82, -120.001, 2476.82, 119.999, 563.505, -18.2643, 391.874, -135.31, 461.725, 104.832
4609, 1800.00000, 2476.81, -0.00174982, 2476.82, -120.001, 2476.82, 119.999, 556.768, -18.2239, 387.969, -135.142, 457.274, 104.968
4609, 2700.00000, 2476.81, -0.00173352, 2476.82, -120.001, 2476.82, 119.999, 551.155, -18.0896, 384.061, -134.968, 452.969, 105.107
4610, 0.00000, 2476.81, -0.00171704, 2476.82, -120.001, 2476.82, 119.999, 545.486, -17.9517, 380.167, -134.791, 448.644, 105.248
4610, 900.00000, 2476.81, -0.00170057, 2476.82, -120.001, 2476.82, 119.999, 539.821, -17.8114, 376.277, -134.611, 444.322, 105.391
4610, 1800.00000, 2476.81, -0.00169009, 2476.82, -120.001, 2476.82, 119.999, 536.244, -17.7284, 373.755, -134.505, 441.502, 105.478
4610, 2700.00000, 2476.81, -0.00168041, 2476.82, -120.001, 2476.82, 119.999, 532.928, -17.6464, 370.926, -134.555, 439.017, 105.561
4611, 0.00000, 2476.81, -0.00167095, 2476.82, -120.001, 2476.82, 119.999, 529.681, -17.5627, 368.704, -134.449, 436.485, 105.648
4611, 900.00000, 2476.81, -0.00166141, 2476.82, -120.001, 2476.82, 119.999, 526.409, -17.4777, 366.469, -134.342, 433.957, 105.736
4611, 1800.00000, 2476.81, -0.00165649, 2476.82, -120.001, 2476.82, 119.999, 524.733, -17.438, 365.282, -134.294, 432.597, 105.777
4611, 2700.00000, 2476.81, -0.00165221, 2476.82, -120.001, 2476.82, 119.999, 523.264, -17.3986, 364.288, -134.246, 431.438, 105.817
4612, 0.00000, 2476.81, -0.00164794, 2476.82, -120.001, 2476.82, 119.999, 521.797, -17.359, 363.296, -134.198, 430.278, 105.858
4612, 900.00000, 2476.81, -0.00164367, 2476.82, -120.001, 2476.82, 119.999, 520.331, -17.3193, 362.303, -134.15, 429.12, 105.898
4612, 1800.00000, 2476.81, -0.00164401, 2476.82, -120.001, 2476.82, 119.999, 520.46, -17.3266, 362.357, -134.164, 429.113, 105.891
4612, 2700.00000, 2476.81, -0.00164503, 2476.82, -120.001, 2476.82, 119.999, 520.807, -17.3345, 362.613, -134.178, 429.316, 105.883
4613, 0.00000, 2476.81, -0.00164606, 2476.82, -120.001, 2476.82, 119.999, 521.154, -17.3423, 362.87, -134.193, 429.519, 105.875
4613, 900.00000, 2476.81, -0.00164709, 2476.82, -120.001, 2476.82, 119.999, 521.501, -17.3501, 363.126, -134.207, 429.722, 105.867
4613, 1800.00000, 2476.81, -0.00164564, 2476.82, -120.001, 2476.82, 119.999, 520.985, -17.3292, 362.874, -134.194, 429.107, 105.89
4613, 2700.00000, 2476.81, -0.00164378, 2476.82, -120.001, 2476.82, 119.999, 520.335, -17.3079, 362.496, -134.181, 428.361, 105.914
4614, 0.00000, 2476.81, -0.00164192, 2476.82, -120.001, 2476.82, 119.999, 519.684, -17.2866, 362.118, -134.168, 427.615, 105.938
4614, 900.00000, 2476.81, -0.00164006, 2476.82, -120.001, 2476.82, 119.999, 519.034, -17.2652, 361.739, -134.155, 426.868, 105.963
4614, 1800.00000, 2476.81, -0.00164564, 2476.82, -120.001, 2476.82, 119.999, 521.213, -17.4094, 362.671, -134.34, 428.018, 105.817
4614, 2700.00000, 2476.81, -0.00162629, 2476.82, -120.001, 2476.82, 119.999, 515.873, -17.6836, 360.701, -134.617, 426.219, 105.594
4615, 0.00000, 2476.81, -0.00159491, 2476.82, -120.001, 2476.82, 119.999, 507.251, -18.1456, 358.165, -134.955, 423.627, 105.328
4615, 900.00000, 2476.81, -0.00158175, 2476.82, -120.001, 2476.82, 119.999, 503.893, -18.4286, 356.468, -135.255, 422.118, 105.088
4615, 1800.00000, 2476.81, -0.00157637, 2476.82, -120.001, 2476.82, 119.999, 503.256, -18.7897, 357.243, -135.627, 423.597, 104.78
4615, 2700.00000, 2476.81, -0.00157231, 2476.82, -120.001, 2476.82, 119.999, 503.059, -19.1512, 358.434, -135.997, 425.496, 104.472
4616, 0.00000, 2476.81, -0.00156826, 2476.82, -120.001, 2476.82, 119.999, 502.887, -19.5134, 359.64, -136.365, 427.407, 104.167
4616, 900.00000, 2476.81, -0.00156422, 2476.82, -120.001, 2476.82, 119.999, 502.739, -19.8763, 360.859, -136.731, 429.329, 103.864
4616, 1800.00000, 2476.81, -0.00157084, 2476.82, -120.001, 2476.82, 119.999, 505.59, -20.1006, 363.66, -136.975, 432.595, 103.665
4616, 2700.00000, 2476.81, -0.00157699, 2476.82, -120.001, 2476.81, 119.999, 508.303, -20.3236, 366.308, -137.216, 435.72, 103.469
4617, 0.00000, 2476.81, -0.00158313, 2476.82, -120.001, 2476.81, 119.999, 511.022, -20.5443, 368.962, -137.453, 438.85, 103.275
4617, 900.00000, 2476.81, -0.00158927, 2476.82, -120.001, 2476.81, 119.999, 513.747, -20.7628, 371.622, -137.687, 441.984, 103.084
4617, 1800.00000, 2476.81, -0.00160085, 2476.82, -120.001, 2476.81, 119.999, 518.017, -20.915, 374.974, -137.863, 445.843, 102.937
4617, 2700.00000, 2476.81, -0.00161227, 2476.82, -120.001, 2476.81, 119.999, 522.242, -21.0654, 378.275, -138.035, 449.659, 102.792
4618, 0.00000, 2476.81, -0.00162368, 2476.82, -120.001, 2476.81, 119.999, 526.47, -21.2136, 381.579, -138.205, 453.478, 102.649
4618, 900.00000, 2476.8, -0.00163509, 2476.82, -120.001, 2476.81, 119.999, 530.701, -21.3597, 384.887, -138.373, 457.3, 102.509
4618, 1800.00000, 2476.8, -0.00164495, 2476.81, -120.001, 2476.81, 119.999, 534.351, -21.4821, 387.609, -138.511, 460.589, 102.387
4618, 2700.00000, 2476.8, -0.00165455, 2476.81, -120.001, 2476.81, 119.999, 537.915, -21.6013, 390.902, -138.504, 463.726, 102.27
4619, 0.00000, 2476.8, -0.001664, 2476.81, -120.001, 2476.81, 119.999, 541.438, -21.7209, 393.505, -138.64, 466.916, 102.151
4619, 900.00000, 2476.8, -0.00167351, 2476.81, -120.001, 2476.81, 119.999, 544.985, -21.8396, 396.134, -138.776, 470.106, 102.034
4619, 1800.00000, 2476.8, -0.00168841, 2476.81, -120.001, 2476.81, 119.999, 550.196, -21.9311, 399.763, -138.895, 474.278, 101.932
4619, 2700.00000, 2476.8, -0.0017039, 2476.81, -120.001, 2476.81, 119.998, 555.605, -22.0236, 403.46, -139.012, 478.537, 101.831
4620, 0.00000, 2476.8, -0.00171893, 2476.81, -120.001, 2476.81, 119.998, 560.858, -22.1114, 407.147, -139.127, 482.762, 101.732
4620, 900.00000, 2476.8, -0.00173405, 2476.81, -120.001, 2476.81, 119.998, 566.146, -22.1988, 410.843, -139.24, 487.007, 101.634
4620, 1800.00000, 2476.8, -0.00174721, 2476.81, -120.001, 2476.81, 119.998, 570.703, -22.2627, 413.981, -139.317, 490.788, 101.561
4620, 2700.00000, 2476.8, -0.00176429, 2476.81, -120.001, 2476.81, 119.998, 576.162, -22.2332, 416.943, -139.392, 494.501, 101.49
4621, 0.00000, 2476.8, -0.00177702, 2476.81, -120.001, 2476.81, 119.998, 580.581, -22.2962, 419.991, -139.468, 498.163, 101.418
4621, 900.00000, 2476.8, -0.00178987, 2476.81, -120.001, 2476.81, 119.998, 585.045, -22.3596, 423.032, -139.543, 501.847, 101.347
4621, 1800.00000, 2476.8, -0.00180639, 2476.81, -120.001, 2476.81, 119.998, 590.567, -22.3877, 426.821, -139.568, 506.651, 101.306
4621, 2700.00000, 2476.8, -0.00182293, 2476.81, -120.001, 2476.81, 119.998, 596.095, -22.4157, 430.612, -139.593, 511.464, 101.265
4622, 0.00000, 2476.8, -0.00183947, 2476.81, -120.001, 2476.81, 119.998, 601.625, -22.4437, 434.403, -139.617, 516.279, 101.224
4622, 900.00000, 2476.8, -0.00185601, 2476.81, -120.001, 2476.81, 119.998, 607.157, -22.4715, 438.194, -139.642, 521.095, 101.184
4622, 1800.00000, 2476.8, -0.00186896, 2476.81, -120.001, 2476.81, 119.998, 611.492, -22.494, 440.728, -139.67, 524.5, 101.143
4622, 2700.00000, 2491.81, -0.00189214, 2491.82, -120.001, 2491.82, 119.998, 615.029, -22.4223, 442.389, -139.584, 526.999, 101.203
4623, 0.00000, 2491.81, -0.00190452, 2491.82, -120.001, 2491.82, 119.998, 619.154, -22.445, 444.758, -139.613, 530.208, 101.163
4623, 900.00000, 2491.81, -0.00191704, 2491.82, -120.001, 2491.82, 119.998, 623.332, -22.4688, 447.139, -139.642, 533.46, 101.122
4623, 1800.00000, 2491.81, -0.00193695, 2491.82, -120.001, 2491.82, 119.998, 629.783, -22.464, 451.209, -139.648, 538.313, 101.104
4623, 2700.00000, 2491.81, -0.00195716, 2491.82, -120.001, 2491.82, 119.998, 636.336, -22.4597, 455.361, -139.655, 543.258, 101.085
4624, 0.00000, 2491.81, -0.00197739, 2491.82, -120.001, 2491.82, 119.998, 642.895, -22.4563, 459.514, -139.662, 548.205, 101.067
4624, 900.00000, 2491.81, -0.00199762, 2491.82, -120.001, 2491.82, 119.998, 649.459, -22.4537, 463.668, -139.669, 553.154, 101.048
4624, 1800.00000, 2491.81, -0.00201502, 2491.82, -120.001, 2491.82, 119.998, 654.957, -22.4198, 466.945, -139.645, 557.007, 101.057
4624, 2700.00000, 2491.81, -0.00203175, 2491.82, -120.001, 2491.82, 119.998, 660.24, -22.3877, 470.009, -139.623, 560.644, 101.066
4625, 0.00000, 2491.81, -0.00204848, 2491.82, -120.001, 2491.82, 119.998, 665.527, -22.3567, 473.073, -139.601, 564.282, 101.074
4625, 900.00000, 2491.81, -0.00206521, 2491.82, -120.001, 2491.82, 119.998, 670.819, -22.3268, 476.138, -139.579, 567.921, 101.083
4625, 1800.00000, 2491.81, -0.00209745, 2491.82, -120.002, 2491.82, 119.998, 680.038, -22.0706, 481.032, -139.395, 573.101, 101.23
4625, 2700.00000, 2491.81, -0.00211371, 2491.82, -120.002, 2491.82, 119.998, 684.815, -21.9688, 482.926, -139.316, 575.002, 101.295
4626, 0.00000, 2491.81, -0.0021302, 2491.82, -120.002, 2491.82, 119.998, 689.678, -21.8706, 484.776, -139.238, 576.933, 101.359
4626, 900.00000, 2491.81, -0.00214671, 2491.82, -120.002, 2491.82, 119.998, 694.554, -21.7746, 486.625, -139.161, 578.866, 101.422
4626, 1800.00000, 2491.81, -0.00215546, 2491.82, -120.002, 2491.82, 119.998, 696.614, -21.6168, 486.679, -139.015, 578.405, 101.548
4626, 2700.00000, 2491.81, -0.00218012, 2491.82, -120.002, 2491.82, 119.998, 703.397, -21.3734, 488.227, -138.801, 579.555, 101.734
4627, 0.00000, 2491.81, -0.00220522, 2491.82, -120.002, 2491.82, 119.998, 710.431, -21.1543, 490.426, -138.597, 581.33, 101.911
4627, 900.00000, 2491.81, -0.00219357, 2491.82, -120.002, 2491.82, 119.998, 706.342, -21.0846, 487.661, -138.52, 577.931, 101.981
4627, 1800.00000, 2491.81, -0.00219111, 2491.82, -120.002, 2491.82, 119.998, 705.526, -21.0792, 486.986, -138.515, 577.225, 101.986
4627, 2700.00000, 2491.81, -0.00219025, 2491.82, -120.002, 2491.82, 119.998, 705.222, -21.074, 486.778, -138.509, 577.011, 101.99
4628, 0.00000, 2491.81, -0.0021894, 2491.82, -120.002, 2491.82, 119.998, 704.923, -21.0688, 486.573, -138.503, 576.8, 101.994
4628, 900.00000, 2491.81, -0.00218855, 2491.82, -120.002, 2491.82, 119.998, 704.625, -21.0637, 486.367, -138.497, 576.589, 101.999
4628, 1800.00000, 2491.81, -0.00217891, 2491.82, -120.002, 2491.82, 119.998, 701.208, -20.9973, 484.175, -138.421, 573.922, 102.063
4628, 2700.00000, 2491.81, -0.00216777, 2491.82, -120.002, 2491.82, 119.998, 697.307, -20.9301, 481.543, -138.344, 570.793, 102.129
4629, 0.00000, 2491.81, -0.00215662, 2491.82, -120.002, 2491.82, 119.998, 693.403, -20.8622, 478.911, -138.268, 567.662, 102.196
