hour,t(sec),"P1 (kW)","Q1 (kvar)"
0, 900.00000, -30.9839, -15.492
0, 1800.00000, -30.7404, -15.3702
0, 2700.00000, -30.4971, -15.2486
1, 0.00000, -30.2537, -15.1268
1, 900.00000, -30.0102, -15.0051
1, 1800.00000, -29.8473, -14.9236
1, 2700.00000, -29.6844, -14.8422
2, 0.00000, -29.5215, -14.7608
2, 900.00000, -29.3586, -14.6793
2, 1800.00000, -29.2816, -14.6408
2, 2700.00000, -29.2046, -14.6023
3, 0.00000, -29.1277, -14.5638
3, 900.00000, -29.0507, -14.5253
3, 1800.00000, -29.1259, -14.563
3, 2700.00000, -29.2014, -14.6007
4, 0.00000, -29.2768, -14.6384
4, 900.00000, -29.3522, -14.6761
4, 1800.00000, -29.6288, -14.8144
4, 2700.00000, -29.9055, -14.9528
5, 0.00000, -30.1821, -15.0911
5, 900.00000, -30.4586, -15.2293
5, 1800.00000, -30.9736, -15.4868
5, 2700.00000, -31.4877, -15.7438
6, 0.00000, -32.0014, -16.0007
6, 900.00000, -32.5146, -16.2573
6, 1800.00000, -32.7336, -16.3668
6, 2700.00000, -32.9527, -16.4764
7, 0.00000, -33.1718, -16.5859
7, 900.00000, -33.3908, -16.6954
7, 1800.00000, -33.4254, -16.7127
7, 2700.00000, -33.4527, -16.7264
8, 0.00000, -33.4792, -16.7396
8, 900.00000, -33.5057, -16.7528
8, 1800.00000, -33.436, -16.718
8, 2700.00000, -33.3662, -16.6831
9, 0.00000, -33.2965, -16.6482
9, 900.00000, -33.2267, -16.6133
9, 1800.00000, -33.2165, -16.6083
9, 2700.00000, -33.2066, -16.6033
10, 0.00000, -33.1967, -16.5984
10, 900.00000, -33.1868, -16.5934
10, 1800.00000, -33.101, -16.5505
10, 2700.00000, -33.0153, -16.5076
11, 0.00000, -32.9295, -16.4648
11, 900.00000, -32.8438, -16.4219
11, 1800.00000, -32.7431, -16.3715
11, 2700.00000, -32.6424, -16.3212
12, 0.00000, -32.5417, -16.2708
12, 900.00000, -32.4409, -16.2205
12, 1800.00000, -32.3719, -16.186
12, 2700.00000, -32.303, -16.1515
13, 0.00000, -32.2341, -16.1171
13, 900.00000, -32.1652, -16.0826
13, 1800.00000, -32.1558, -16.0779
13, 2700.00000, -32.1466, -16.0733
14, 0.00000, -32.1373, -16.0687
14, 900.00000, -32.1281, -16.064
14, 1800.00000, -32.2028, -16.1014
14, 2700.00000, -32.2778, -16.1389
15, 0.00000, -32.3528, -16.1764
15, 900.00000, -32.4277, -16.2139
15, 1800.00000, -32.8344, -16.4172
15, 2700.00000, -33.2373, -16.6186
16, 0.00000, -33.6429, -16.8214
16, 900.00000, -34.0439, -17.022
16, 1800.00000, -35.0542, -17.5271
16, 2700.00000, -36.0631, -18.0315
17, 0.00000, -37.0706, -18.5353
17, 900.00000, -38.0767, -19.0384
17, 1800.00000, -38.3251, -19.1625
17, 2700.00000, -38.5736, -19.2868
18, 0.00000, -38.822, -19.411
18, 900.00000, -39.0704, -19.5352
18, 1800.00000, -38.9579, -19.4789
18, 2700.00000, -38.845, -19.4225
19, 0.00000, -38.732, -19.366
19, 900.00000, -38.619, -19.3095
19, 1800.00000, -38.4233, -19.2116
19, 2700.00000, -38.2274, -19.1137
20, 0.00000, -38.0314, -19.0157
20, 900.00000, -37.8354, -18.9177
20, 1800.00000, -37.4584, -18.7292
20, 2700.00000, -37.0809, -18.5405
21, 0.00000, -36.7032, -18.3516
21, 900.00000, -36.3253, -18.1626
21, 1800.00000, -35.7652, -17.8826
21, 2700.00000, -35.2052, -17.6026
22, 0.00000, -34.6453, -17.3227
22, 900.00000, -34.0843, -17.0422
22, 1800.00000, -33.4859, -16.743
22, 2700.00000, -32.8869, -16.4435
23, 0.00000, -32.2874, -16.1437
23, 900.00000, -31.6874, -15.8437
23, 1800.00000, -31.2633, -15.6317
23, 2700.00000, -30.8393, -15.4196
24, 0.00000, -30.415, -15.2075
