hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2
0, 900.00000, 2409.43, -2.00353, 2397.18, 118.961, 13.4785, 151.417, 1.49998E-11, -104.036
0, 1800.00000, 2410.14, -1.99152, 2397.7, 118.966, 13.386, 151.429, 3.63798E-12, 0
0, 2700.00000, 2410.85, -1.97946, 2398.23, 118.972, 13.2935, 151.441, 3.63798E-12, 180
1, 0.00000, 2411.56, -1.9674, 2398.75, 118.977, 13.2009, 151.453, 8.13477E-12, -116.565
1, 900.00000, 2397.42, -1.95476, 2399.28, 118.981, 13.1157, 151.466, 1.45519E-11, 180
1, 1800.00000, 2397.77, -1.94836, 2399.59, 118.985, 13.0817, 151.473, 0, 0
1, 2700.00000, 2398.13, -1.94191, 2399.91, 118.988, 13.0473, 151.479, 7.27596E-12, 0
2, 0.00000, 2398.48, -1.93546, 2400.22, 118.991, 13.0128, 151.486, 7.27596E-12, 180
2, 900.00000, 2398.84, -1.929, 2400.53, 118.995, 12.9783, 151.492, 1.09139E-11, 180
2, 1800.00000, 2398.98, -1.92636, 2400.67, 118.996, 12.9686, 151.495, 3.63798E-12, 180
2, 2700.00000, 2399.12, -1.92374, 2400.8, 118.998, 12.959, 151.497, 8.13477E-12, -63.4349
3, 0.00000, 2399.26, -1.92112, 2400.93, 118.999, 12.9493, 151.5, 1.02898E-11, -135
3, 900.00000, 2399.39, -1.9185, 2401.06, 119.001, 12.9397, 151.503, 0, 0
3, 1800.00000, 2398.94, -1.92542, 2400.81, 118.999, 13.0221, 151.496, 7.27596E-12, -90
3, 2700.00000, 2398.49, -1.93239, 2400.56, 118.997, 13.1048, 151.488, 7.27596E-12, -90
4, 0.00000, 2398.04, -1.93936, 2400.3, 118.995, 13.1875, 151.481, 7.27596E-12, 180
4, 900.00000, 2397.59, -1.94632, 2400.05, 118.993, 13.2701, 151.474, 0, 0
4, 1800.00000, 2396.31, -1.96656, 2399.28, 118.986, 13.4857, 151.454, 8.13477E-12, -116.565
4, 2700.00000, 2395.03, -1.98686, 2398.51, 118.979, 13.7015, 151.433, 7.27596E-12, 180
5, 0.00000, 2393.75, -2.00716, 2397.73, 118.973, 13.9174, 151.412, 7.27596E-12, 90
5, 900.00000, 2392.47, -2.02745, 2396.96, 118.966, 14.1333, 151.392, 3.63798E-12, 180
5, 1800.00000, 2404.8, -2.06712, 2395.51, 118.955, 14.5498, 151.351, 1.02898E-11, 45
5, 2700.00000, 2402.31, -2.10606, 2394.07, 118.943, 14.9737, 151.312, 1.49998E-11, -104.036
6, 0.00000, 2399.81, -2.14504, 2392.62, 118.931, 15.3983, 151.272, 1.02898E-11, 45
