hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
0, 900.00000, 1698.18, -1.16167, 2826.77, -127.447, 2755, 124.106, 0, 0, 0, 0, 0, 0
0, 1800.00000, 1698.45, -1.15641, 2827.28, -127.443, 2755.44, 124.116, 0, 0, 0, 0, 0, 0
0, 2700.00000, 1698.71, -1.15115, 2827.8, -127.439, 2755.88, 124.125, 0, 0, 0, 0, 0, 0
1, 0.00000, 1698.98, -1.14589, 2828.32, -127.436, 2756.31, 124.135, 0, 0, 0, 0, 0, 0
1, 900.00000, 1699.24, -1.14063, 2828.84, -127.432, 2756.75, 124.144, 0, 0, 0, 0, 0, 0
1, 1800.00000, 1699.37, -1.13784, 2829.11, -127.43, 2757.01, 124.15, 0, 0, 0, 0, 0, 0
1, 2700.00000, 1699.51, -1.13504, 2829.38, -127.429, 2757.28, 124.156, 0, 0, 0, 0, 0, 0
2, 0.00000, 1699.64, -1.13225, 2829.65, -127.427, 2757.54, 124.161, 0, 0, 0, 0, 0, 0
2, 900.00000, 1699.77, -1.12946, 2829.92, -127.426, 2757.8, 124.167, 0, 0, 0, 0, 0, 0
2, 1800.00000, 1699.83, -1.12806, 2830.02, -127.425, 2757.91, 124.169, 0, 0, 0, 0, 0, 0
2, 2700.00000, 1699.88, -1.12667, 2830.12, -127.425, 2758.02, 124.172, 0, 0, 0, 0, 0, 0
3, 0.00000, 1699.94, -1.12527, 2830.22, -127.424, 2758.14, 124.174, 0, 0, 0, 0, 0, 0
3, 900.00000, 1699.99, -1.12387, 2830.32, -127.424, 2758.25, 124.176, 0, 0, 0, 0, 0, 0
3, 1800.00000, 1699.83, -1.12644, 2829.99, -127.426, 2758.05, 124.171, 0, 0, 0, 0, 0, 0
3, 2700.00000, 1699.66, -1.129, 2829.65, -127.429, 2757.84, 124.166, 0, 0, 0, 0, 0, 0
4, 0.00000, 1699.5, -1.13157, 2829.32, -127.432, 2757.64, 124.161, 0, 0, 0, 0, 0, 0
4, 900.00000, 1699.34, -1.13413, 2828.99, -127.435, 2757.44, 124.156, 0, 0, 0, 0, 0, 0
4, 1800.00000, 1698.87, -1.14219, 2828.06, -127.443, 2756.81, 124.142, 0, 0, 0, 0, 0, 0
4, 2700.00000, 1698.4, -1.15024, 2827.12, -127.451, 2756.17, 124.127, 0, 0, 0, 0, 0, 0
5, 0.00000, 1697.94, -1.15828, 2826.19, -127.458, 2755.54, 124.112, 0, 0, 0, 0, 0, 0
5, 900.00000, 1697.47, -1.16631, 2825.26, -127.466, 2754.91, 124.097, 0, 0, 0, 0, 0, 0
5, 1800.00000, 1696.56, -1.18263, 2823.48, -127.481, 2753.72, 124.07, 0, 0, 0, 0, 0, 0
5, 2700.00000, 1695.65, -1.19891, 2821.71, -127.496, 2752.53, 124.042, 0, 0, 0, 0, 0, 0
6, 0.00000, 1694.74, -1.21517, 2819.94, -127.511, 2751.33, 124.015, 0, 0, 0, 0, 0, 0
6, 900.00000, 1693.83, -1.2314, 2818.17, -127.526, 2750.14, 123.987, 0, 0, 0, 0, 0, 0
6, 1800.00000, 1693.38, -1.23909, 2817.28, -127.533, 2749.57, 123.974, 0, 0, 0, 0, 0, 0
6, 2700.00000, 1692.93, -1.24678, 2816.38, -127.541, 2749.01, 123.961, 0, 0, 0, 0, 0, 0
7, 0.00000, 1692.48, -1.25446, 2815.49, -127.549, 2748.44, 123.948, 0, 0, 0, 0, 0, 0
7, 900.00000, 1692.02, -1.26214, 2814.6, -127.557, 2747.87, 123.934, 0, 0, 0, 0, 0, 0
7, 1800.00000, 1692.43, -1.24259, 2816.29, -127.519, 2748.34, 123.988, 0, 0, 0, 0, 0, 0
7, 2700.00000, 1692.67, -1.23026, 2817.09, -127.5, 2748.58, 124.015, 0, 0, 0, 0, 0, 0
8, 0.00000, 1692.87, -1.21996, 2817.85, -127.482, 2748.8, 124.04, 0, 0, 0, 0, 0, 0
8, 900.00000, 1693.07, -1.20966, 2818.6, -127.463, 2749.01, 124.066, 0, 0, 0, 0, 0, 0
8, 1800.00000, 1693.29, -1.20077, 2819.31, -127.45, 2749.3, 124.086, 0, 0, 0, 0, 0, 0
8, 2700.00000, 1693.51, -1.19188, 2820.01, -127.436, 2749.6, 124.107, 0, 0, 0, 0, 0, 0
9, 0.00000, 1693.74, -1.183, 2820.71, -127.422, 2749.89, 124.128, 0, 0, 0, 0, 0, 0
9, 900.00000, 1693.96, -1.17412, 2821.41, -127.408, 2750.18, 124.149, 0, 0, 0, 0, 0, 0
9, 1800.00000, 1693.98, -1.17354, 2821.63, -127.405, 2750.24, 124.156, 0, 0, 0, 0, 0, 0
9, 2700.00000, 1694, -1.17297, 2821.84, -127.401, 2750.29, 124.163, 0, 0, 0, 0, 0, 0
10, 0.00000, 1694.02, -1.17239, 2822.05, -127.397, 2750.35, 124.169, 0, 0, 0, 0, 0, 0
10, 900.00000, 1694.05, -1.17181, 2822.26, -127.393, 2750.41, 124.176, 0, 0, 0, 0, 0, 0
10, 1800.00000, 1694.16, -1.16833, 2822.52, -127.39, 2750.6, 124.183, 0, 0, 0, 0, 0, 0
10, 2700.00000, 1694.28, -1.16484, 2822.78, -127.386, 2750.78, 124.189, 0, 0, 0, 0, 0, 0
11, 0.00000, 1694.4, -1.16136, 2823.04, -127.383, 2750.97, 124.195, 0, 0, 0, 0, 0, 0
11, 900.00000, 1694.52, -1.15787, 2823.29, -127.379, 2751.16, 124.202, 0, 0, 0, 0, 0, 0
11, 1800.00000, 1694.61, -1.15607, 2823.48, -127.378, 2751.33, 124.206, 0, 0, 0, 0, 0, 0
11, 2700.00000, 1694.69, -1.15427, 2823.66, -127.377, 2751.5, 124.21, 0, 0, 0, 0, 0, 0
12, 0.00000, 1694.78, -1.15247, 2823.84, -127.375, 2751.67, 124.214, 0, 0, 0, 0, 0, 0
12, 900.00000, 1694.86, -1.15066, 2824.03, -127.374, 2751.83, 124.218, 0, 0, 0, 0, 0, 0
12, 1800.00000, 1694.87, -1.15146, 2824.03, -127.376, 2751.89, 124.217, 0, 0, 0, 0, 0, 0
12, 2700.00000, 1694.88, -1.15226, 2824.03, -127.378, 2751.96, 124.216, 0, 0, 0, 0, 0, 0
13, 0.00000, 1694.88, -1.15306, 2824.03, -127.38, 2752.02, 124.215, 0, 0, 0, 0, 0, 0
13, 900.00000, 1694.89, -1.15386, 2824.03, -127.382, 2752.08, 124.214, 0, 0, 0, 0, 0, 0
13, 1800.00000, 1694.85, -1.15578, 2823.87, -127.386, 2752.05, 124.209, 0, 0, 0, 0, 0, 0
13, 2700.00000, 1694.81, -1.15769, 2823.71, -127.389, 2752.01, 124.204, 0, 0, 0, 0, 0, 0
14, 0.00000, 1694.77, -1.1596, 2823.55, -127.393, 2751.98, 124.199, 0, 0, 0, 0, 0, 0
14, 900.00000, 1694.73, -1.16151, 2823.39, -127.396, 2751.95, 124.194, 0, 0, 0, 0, 0, 0
14, 1800.00000, 1694.53, -1.17048, 2822.7, -127.411, 2751.66, 124.172, 0, 0, 0, 0, 0, 0
14, 2700.00000, 1694.33, -1.17945, 2822.01, -127.425, 2751.36, 124.149, 0, 0, 0, 0, 0, 0
15, 0.00000, 1694.13, -1.18842, 2821.32, -127.439, 2751.06, 124.127, 0, 0, 0, 0, 0, 0
15, 900.00000, 1693.93, -1.19739, 2820.64, -127.454, 2750.76, 124.105, 0, 0, 0, 0, 0, 0
15, 1800.00000, 1693.37, -1.2138, 2819.12, -127.475, 2749.86, 124.065, 0, 0, 0, 0, 0, 0
15, 2700.00000, 1692.77, -1.23255, 2817.55, -127.499, 2748.93, 124.023, 0, 0, 0, 0, 0, 0
16, 0.00000, 1692.22, -1.24804, 2815.94, -127.521, 2748.03, 123.982, 0, 0, 0, 0, 0, 0
16, 900.00000, 1691.39, -1.27803, 2813.52, -127.564, 2746.83, 123.913, 0, 0, 0, 0, 0, 0
16, 1800.00000, 1690.32, -1.3007, 2811.49, -127.578, 2745.04, 123.876, 0, 0, 0, 0, 0, 0
16, 2700.00000, 1689.26, -1.32334, 2809.46, -127.592, 2743.25, 123.838, 0, 0, 0, 0, 0, 0
17, 0.00000, 1688.19, -1.34595, 2807.43, -127.606, 2741.47, 123.8, 0, 0, 0, 0, 0, 0
17, 900.00000, 1687.13, -1.36853, 2805.41, -127.62, 2739.68, 123.762, 0, 0, 0, 0, 0, 0
17, 1800.00000, 1686.9, -1.37356, 2804.96, -127.623, 2739.25, 123.753, 0, 0, 0, 0, 0, 0
17, 2700.00000, 1686.66, -1.37858, 2804.51, -127.626, 2738.83, 123.744, 0, 0, 0, 0, 0, 0
18, 0.00000, 1686.43, -1.3836, 2804.06, -127.629, 2738.4, 123.735, 0, 0, 0, 0, 0, 0
18, 900.00000, 1686.2, -1.38862, 2803.61, -127.632, 2737.98, 123.727, 0, 0, 0, 0, 0, 0
18, 1800.00000, 1686.41, -1.38479, 2804.02, -127.628, 2738.26, 123.733, 0, 0, 0, 0, 0, 0
