hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
0, 900.00000, 1495.68, -2.57203, 2898.58, -129.057, 2797.53, 124.846, 0.0000104904, 90, 0.0000158723, -32.7352, 0.000015171, -149.808
0, 1800.00000, 1496.12, -2.56056, 2899.26, -129.053, 2798.24, 124.859, 0.0000105053, 90, 0.0000158239, -30.8157, 0.000015171, -149.808
0, 2700.00000, 1496.56, -2.54907, 2899.95, -129.048, 2798.95, 124.873, 0.000010508, 88.6999, 0.0000161351, -34.1597, 0.000015171, -149.808
1, 0.00000, 1497, -2.53757, 2900.64, -129.043, 2799.66, 124.886, 0.0000105128, 90, 0.0000158723, -32.7352, 0.0000151466, -151.821
1, 900.00000, 1497.44, -2.52607, 2901.32, -129.038, 2800.37, 124.899, 0.0000105277, 90, 0.0000156196, -31.2637, 0.0000153775, -150.255
1, 1800.00000, 1497.66, -2.51999, 2901.67, -129.037, 2800.8, 124.907, 0.0000105277, 90, 0.0000161351, -34.1597, 0.000015171, -149.808
1, 2700.00000, 1497.87, -2.5139, 2902.01, -129.035, 2801.23, 124.915, 0.0000105229, 88.7017, 0.0000158723, -32.7352, 0.0000149369, -151.39
2, 0.00000, 1498.09, -2.50781, 2902.35, -129.033, 2801.67, 124.923, 0.0000105128, 90, 0.0000156196, -31.2637, 0.000015171, -149.808
2, 900.00000, 1498.3, -2.50172, 2902.7, -129.031, 2802.1, 124.931, 0.0000105202, 90, 0.0000156196, -31.2637, 0.0000151466, -151.821
2, 1800.00000, 1498.38, -2.49954, 2902.84, -129.031, 2802.27, 124.934, 0.0000105277, 90, 0.0000156196, -31.2637, 0.000015171, -149.808
2, 2700.00000, 1498.46, -2.49736, 2902.98, -129.03, 2802.44, 124.937, 0.0000105202, 90, 0.0000156196, -31.2637, 0.000015171, -149.808
3, 0.00000, 1498.54, -2.49518, 2903.11, -129.029, 2802.61, 124.94, 0.0000105277, 90, 0.0000158723, -32.7352, 0.0000153775, -150.255
3, 900.00000, 1498.62, -2.49299, 2903.25, -129.029, 2802.78, 124.944, 0.0000105128, 90, 0.0000158723, -32.7352, 0.0000151466, -151.821
3, 1800.00000, 1498.33, -2.50036, 2902.83, -129.032, 2802.43, 124.937, 0.0000105155, 88.7008, 0.0000160734, -32.2756, 0.0000156196, -148.736
3, 2700.00000, 1498.03, -2.50771, 2902.4, -129.036, 2802.08, 124.93, 0.0000105351, 90, 0.0000160734, -32.2756, 0.0000151466, -151.821
4, 0.00000, 1497.73, -2.51505, 2901.97, -129.04, 2801.73, 124.923, 0.0000105202, 90, 0.0000158239, -30.8157, 0.0000153775, -150.255
4, 900.00000, 1497.43, -2.5224, 2901.54, -129.044, 2801.39, 124.917, 0.0000105128, 90, 0.0000156196, -31.2637, 0.0000149369, -151.39
4, 1800.00000, 1496.6, -2.54299, 2900.31, -129.054, 2800.33, 124.897, 0.0000105202, 90, 0.0000156196, -31.2637, 0.0000153775, -150.255
4, 2700.00000, 1495.77, -2.56354, 2899.08, -129.065, 2799.28, 124.876, 0.000010483, 90, 0.0000156196, -31.2637, 0.000015171, -149.808
5, 0.00000, 1494.94, -2.58405, 2897.85, -129.075, 2798.22, 124.856, 0.0000104904, 90, 0.0000160734, -32.2756, 0.0000151466, -151.821
5, 900.00000, 1494.12, -2.60451, 2896.62, -129.086, 2797.16, 124.836, 0.0000105053, 90, 0.0000156196, -31.2637, 0.0000153775, -150.255
5, 1800.00000, 1492.52, -2.6429, 2894.21, -129.107, 2795.24, 124.798, 0.0000104904, 90, 0.0000158723, -32.7352, 0.0000149369, -151.39
5, 2700.00000, 1490.92, -2.68114, 2891.8, -129.128, 2793.31, 124.76, 0.0000104904, 90, 0.0000158239, -30.8157, 0.000015171, -149.808
6, 0.00000, 1489.33, -2.71924, 2889.39, -129.15, 2791.38, 124.722, 0.0000104782, 88.6962, 0.0000156723, -33.2066, 0.0000149654, -149.349
6, 900.00000, 1487.75, -2.75705, 2886.97, -129.171, 2789.45, 124.684, 0.000010485, 86.0884, 0.0000156723, -33.2066, 0.0000149654, -149.349
6, 1800.00000, 1486.94, -2.77612, 2885.75, -129.183, 2788.52, 124.666, 0.0000104553, 86.0773, 0.0000156723, -33.2066, 0.0000154163, -148.276
6, 2700.00000, 1486.14, -2.79514, 2884.54, -129.194, 2787.59, 124.647, 0.0000104566, 87.3863, 0.0000154163, -31.7236, 0.0000149654, -149.349
7, 0.00000, 1485.33, -2.81412, 2883.32, -129.205, 2786.66, 124.629, 0.0000104553, 86.0773, 0.0000154163, -31.7236, 0.0000149654, -149.349
7, 900.00000, 1484.53, -2.83306, 2882.1, -129.216, 2785.73, 124.611, 0.0000104268, 87.3788, 0.0000156723, -33.2066, 0.000015171, -149.808
7, 1800.00000, 1487.31, -2.63636, 2882.22, -129.178, 2787.11, 124.642, 0.0000104335, 88.6906, 0.0000158723, -32.7352, 0.000014728, -150.945
7, 2700.00000, 1488.49, -2.5516, 2882.36, -129.159, 2787.71, 124.659, 0.0000104484, 88.6925, 0.0000156196, -31.2637, 0.0000154163, -148.276
8, 0.00000, 1489.63, -2.46842, 2882.44, -129.142, 2788.28, 124.675, 0.0000104566, 87.3863, 0.0000154163, -31.7236, 0.0000149654, -149.349
8, 900.00000, 1490.77, -2.385, 2882.53, -129.125, 2788.86, 124.69, 0.0000104633, 88.6943, 0.0000156196, -31.2637, 0.000015214, -147.804
8, 1800.00000, 1491.75, -2.3197, 2882.8, -129.111, 2789.52, 124.705, 0.0000104633, 88.6943, 0.0000156723, -33.2066, 0.0000149654, -149.349
