hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
4776, 900.00000, 27.8029, -57.2827, 30.7753, -177.997, 29.6764, 57.1817, 5560.89, 122.715, 6155.51, 2.00044, 5935.95, -122.821
4776, 1800.00000, 27.8075, -57.2792, 30.7782, -177.996, 29.6793, 57.1841, 5561.8, 122.718, 6156.07, 2.00181, 5936.52, -122.819
4776, 2700.00000, 27.8121, -57.2757, 30.781, -177.995, 29.6822, 57.1866, 5562.71, 122.722, 6156.63, 2.00319, 5937.09, -122.816
4777, 0.00000, 27.8166, -57.2722, 30.7839, -177.993, 29.6851, 57.189, 5563.62, 122.725, 6157.2, 2.00457, 5937.66, -122.814
4777, 900.00000, 27.8212, -57.2687, 30.7867, -177.992, 29.688, 57.1915, 5564.53, 122.729, 6157.76, 2.00595, 5938.23, -122.811
4777, 1800.00000, 27.8246, -57.2661, 30.7888, -177.991, 29.6901, 57.1932, 5565.21, 122.732, 6158.19, 2.00694, 5938.64, -122.81
4777, 2700.00000, 27.828, -57.2634, 30.791, -177.99, 29.6921, 57.195, 5565.89, 122.734, 6158.61, 2.00794, 5939.04, -122.808
4778, 0.00000, 27.8314, -57.2608, 30.7931, -177.989, 29.6942, 57.1967, 5566.57, 122.737, 6159.03, 2.00894, 5939.45, -122.806
4778, 900.00000, 27.8349, -57.2581, 30.7953, -177.988, 29.6963, 57.1985, 5567.25, 122.74, 6159.46, 2.00994, 5939.86, -122.804
4778, 1800.00000, 27.8375, -57.2561, 30.7969, -177.987, 29.6979, 57.1999, 5567.77, 122.742, 6159.78, 2.01072, 5940.19, -122.803
4778, 2700.00000, 27.8401, -57.254, 30.7985, -177.986, 29.6996, 57.2013, 5568.29, 122.744, 6160.1, 2.0115, 5940.52, -122.801
4779, 0.00000, 27.8427, -57.252, 30.8001, -177.986, 29.7013, 57.2027, 5568.82, 122.746, 6160.42, 2.01229, 5940.85, -122.8
4779, 900.00000, 27.8453, -57.2499, 30.8017, -177.985, 29.7029, 57.2042, 5569.34, 122.748, 6160.74, 2.01307, 5941.18, -122.799
4779, 1800.00000, 27.8461, -57.2494, 30.8022, -177.985, 29.7034, 57.2045, 5569.48, 122.748, 6160.83, 2.01329, 5941.26, -122.798
4779, 2700.00000, 27.8468, -57.2489, 30.8027, -177.985, 29.7038, 57.2049, 5569.63, 122.749, 6160.93, 2.01351, 5941.35, -122.798
