hour,t(sec),V1,VAngle1,I1,IAngle1
0, 900.00000, 2838.29, 132.867, 42.3817, -73.7158
0, 1800.00000, 2839.12, 132.883, 42.0321, -73.6991
0, 2700.00000, 2839.94, 132.899, 41.6816, -73.6825
1, 0.00000, 2840.77, 132.916, 41.331, -73.6659
1, 900.00000, 2841.59, 132.932, 40.9805, -73.6492
1, 1800.00000, 2842.09, 132.941, 40.7626, -73.6399
1, 2700.00000, 2842.58, 132.951, 40.5449, -73.6305
2, 0.00000, 2843.08, 132.96, 40.3272, -73.6211
2, 900.00000, 2843.57, 132.969, 40.1095, -73.6117
2, 1800.00000, 2843.76, 132.973, 40.0346, -73.608
2, 2700.00000, 2843.96, 132.977, 39.9599, -73.6043
3, 0.00000, 2844.15, 132.98, 39.8852, -73.6006
3, 900.00000, 2844.35, 132.984, 39.8105, -73.5968
3, 1800.00000, 2843.93, 132.975, 39.9989, -73.606
3, 2700.00000, 2843.51, 132.966, 40.1875, -73.615
4, 0.00000, 2843.1, 132.957, 40.3762, -73.6241
4, 900.00000, 2842.68, 132.948, 40.5648, -73.6331
4, 1800.00000, 2841.43, 132.922, 41.111, -73.6599
4, 2700.00000, 2840.17, 132.896, 41.6575, -73.6866
5, 0.00000, 2838.92, 132.869, 42.204, -73.7133
5, 900.00000, 2837.66, 132.843, 42.7505, -73.74
5, 1800.00000, 2835.36, 132.793, 43.7073, -73.7902
5, 2700.00000, 2833.04, 132.744, 44.6647, -73.8403
6, 0.00000, 2830.73, 132.694, 45.622, -73.8903
6, 900.00000, 2828.42, 132.645, 46.5794, -73.9403
6, 1800.00000, 2827.3, 132.621, 47.0541, -73.9649
6, 2700.00000, 2826.18, 132.596, 47.5281, -73.9894
7, 0.00000, 2825.05, 132.572, 48.0021, -74.0139
7, 900.00000, 2823.93, 132.548, 48.4762, -74.0384
7, 1800.00000, 2824.66, 132.622, 48.5116, -73.9639
7, 2700.00000, 2825, 132.657, 48.5458, -73.929
8, 0.00000, 2825.3, 132.69, 48.5801, -73.896
8, 900.00000, 2825.6, 132.723, 48.6145, -73.8631
8, 1800.00000, 2826.08, 132.753, 48.5348, -73.8336
8, 2700.00000, 2826.57, 132.782, 48.455, -73.8042
9, 0.00000, 2827.05, 132.812, 48.3752, -73.7747
9, 900.00000, 2827.53, 132.841, 48.2954, -73.7452
9, 1800.00000, 2827.71, 132.852, 48.2378, -73.7337
9, 2700.00000, 2827.89, 132.864, 48.1802, -73.7221
10, 0.00000, 2828.06, 132.875, 48.1227, -73.7105
10, 900.00000, 2828.24, 132.887, 48.0652, -73.699
10, 1800.00000, 2828.57, 132.896, 47.9352, -73.6902
10, 2700.00000, 2828.9, 132.904, 47.8052, -73.6814
11, 0.00000, 2829.23, 132.913, 47.6752, -73.6726
11, 900.00000, 2829.56, 132.922, 47.5451, -73.6638
11, 1800.00000, 2829.88, 132.928, 47.4002, -73.6571
11, 2700.00000, 2830.2, 132.935, 47.2552, -73.6505
12, 0.00000, 2830.53, 132.942, 47.1103, -73.6438
12, 900.00000, 2830.85, 132.948, 46.9653, -73.6371
12, 1800.00000, 2830.99, 132.95, 46.8918, -73.6358
12, 2700.00000, 2831.14, 132.951, 46.8184, -73.6345
13, 0.00000, 2831.28, 132.952, 46.745, -73.6332
13, 900.00000, 2831.43, 132.953, 46.6716, -73.6319
13, 1800.00000, 2831.37, 132.945, 46.6435, -73.6404
13, 2700.00000, 2831.31, 132.936, 46.6155, -73.6489
14, 0.00000, 2831.26, 132.928, 46.5875, -73.6574
14, 900.00000, 2831.2, 132.919, 46.5594, -73.6659
14, 1800.00000, 2830.71, 132.89, 46.6638, -73.6955
14, 2700.00000, 2830.21, 132.86, 46.7682, -73.725
15, 0.00000, 2829.71, 132.831, 46.8727, -73.7546
15, 900.00000, 2829.22, 132.801, 46.9771, -73.7841
15, 1800.00000, 2827.58, 132.739, 47.4924, -73.8462
15, 2700.00000, 2825.89, 132.675, 48.0083, -73.9106
16, 0.00000, 2824.2, 132.61, 48.5241, -73.9761
16, 900.00000, 2822.19, 132.512, 49.0397, -74.0748
16, 1800.00000, 2818.93, 132.447, 50.3388, -74.1404
16, 2700.00000, 2815.67, 132.382, 51.6387, -74.2059
17, 0.00000, 2812.41, 132.317, 52.9386, -74.2714
17, 900.00000, 2809.15, 132.252, 54.2385, -74.3369
17, 1800.00000, 2808.38, 132.237, 54.5554, -74.3521
17, 2700.00000, 2807.6, 132.222, 54.8708, -74.3671
18, 0.00000, 2806.83, 132.207, 55.1861, -74.3822
18, 900.00000, 2806.06, 132.192, 55.5015, -74.3973
18, 1800.00000, 2806.59, 132.204, 55.2909, -74.3859
18, 2700.00000, 2807.11, 132.215, 55.0795, -74.3744
19, 0.00000, 2807.64, 132.226, 54.8682, -74.3629
19, 900.00000, 2808.16, 132.238, 54.6568, -74.3515
19, 1800.00000, 2808.99, 132.255, 54.3177, -74.3339
19, 2700.00000, 2809.82, 132.272, 53.9785, -74.3164
20, 0.00000, 2810.65, 132.29, 53.6392, -74.2988
20, 900.00000, 2811.48, 132.307, 53.2999, -74.2812
20, 1800.00000, 2812.98, 132.338, 52.6834, -74.2499
20, 2700.00000, 2814.48, 132.369, 52.0665, -74.2185
21, 0.00000, 2815.98, 132.4, 51.4496, -74.1871
21, 900.00000, 2817.48, 132.431, 50.8327, -74.1557
21, 1800.00000, 2819.61, 132.475, 49.9646, -74.1113
21, 2700.00000, 2821.75, 132.519, 49.0962, -74.0667
22, 0.00000, 2823.88, 132.563, 48.2278, -74.0222
22, 900.00000, 2826.01, 132.607, 47.3594, -73.9776
22, 1800.00000, 2828.19, 132.653, 46.4774, -73.9319
22, 2700.00000, 2830.38, 132.698, 45.5954, -73.8863
23, 0.00000, 2832.56, 132.743, 44.7134, -73.8406
23, 900.00000, 2834.75, 132.788, 43.8313, -73.7948
23, 1800.00000, 2836.2, 132.818, 43.2623, -73.7646
23, 2700.00000, 2837.64, 132.848, 42.6937, -73.7343
24, 0.00000, 2839.09, 132.878, 42.1251, -73.704
