hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)"
4488, 900.00000, -1880.78, -635.489, -1558.1, -453.761, -1673.49, -481.448
4488, 1800.00000, -1879.48, -629.299, -1551.14, -445.151, -1667, -472.592
4488, 2700.00000, -1859.6, -622.172, -1539.84, -442.44, -1654.43, -470.149
4489, 0.00000, -1857.54, -615.293, -1535.37, -434.915, -1649.87, -462.349
4489, 900.00000, -1840.23, -609.626, -1524.07, -432.22, -1637.37, -459.718
4489, 1800.00000, -1837.76, -602.75, -1521.09, -425.776, -1634.22, -453.086
4489, 2700.00000, -1824.31, -599.411, -1511.76, -424.367, -1623.6, -451.472
4490, 0.00000, -1802.2, -591.112, -1503.22, -423.348, -1613.02, -450.655
4490, 900.00000, -1807.58, -588.718, -1499.9, -416.718, -1610.22, -443.503
4490, 1800.00000, -1790.4, -583.569, -1493.47, -417.222, -1602.26, -444.209
4490, 2700.00000, -1798.17, -582.801, -1493.06, -412.477, -1602.51, -439.04
4491, 0.00000, -1782.61, -578.517, -1487, -413.105, -1595.16, -439.899
4491, 900.00000, -1789.33, -577.132, -1486.93, -408.542, -1595.38, -434.821
4491, 1800.00000, -1780.02, -576.957, -1484.63, -411.872, -1592.29, -438.369
4491, 2700.00000, -1793.17, -579.655, -1489.45, -410.487, -1597.75, -436.454
4492, 0.00000, -1784.28, -579.582, -1488.28, -414.299, -1595.62, -440.441
4492, 900.00000, -1797.99, -582.609, -1492.94, -412.827, -1601.08, -438.475
4492, 1800.00000, -1794.09, -586.024, -1495.88, -419.497, -1603.84, -445.667
4492, 2700.00000, -1816.32, -594.432, -1505.47, -421.19, -1615.35, -447.171
4493, 0.00000, -1811.21, -597.021, -1509.68, -428.412, -1619.05, -454.954
4493, 900.00000, -1835.17, -606.434, -1519.2, -430.072, -1630.66, -456.351
4493, 1800.00000, -1852.47, -612.287, -1530.64, -432.913, -1644.2, -459.723
4493, 2700.00000, -1856.47, -620.374, -1535.86, -440.849, -1650.15, -468.257
4494, 0.00000, -1876.86, -627.921, -1547.89, -443.963, -1664.19, -471.62
4494, 900.00000, -1878.06, -634.428, -1553.3, -452.01, -1670.06, -480.394
4494, 1800.00000, -1905.36, -646.247, -1568.04, -457.187, -1686.65, -485.192
4494, 2700.00000, -1882.92, -650.773, -1563.07, -467.481, -1680.91, -495.789
4495, 0.00000, -1881.68, -657.654, -1565.54, -471.683, -1684.47, -499.494
4495, 900.00000, -1870.8, -663.462, -1567.19, -481.71, -1685.57, -509.811
4495, 1800.00000, -1877.12, -672.039, -1569.11, -485.733, -1688.66, -513.116
4495, 2700.00000, -1861.07, -676.253, -1567.49, -494.975, -1686.09, -522.493
4496, 0.00000, -1871.05, -685.549, -1572.75, -499.427, -1692.54, -526.231
4496, 900.00000, -1854.43, -689.438, -1571.06, -508.635, -1689.84, -535.606
4496, 1800.00000, -1871.63, -699.027, -1579.09, -512.307, -1698.89, -538.314
4496, 2700.00000, -1859.6, -701.695, -1579.99, -520.702, -1698.15, -546.59
4497, 0.00000, -1877.88, -711.967, -1587.55, -524.183, -1706.87, -549.031
4497, 900.00000, -1864.39, -713.79, -1588.45, -532.587, -1706, -557.391
4497, 1800.00000, -1887.35, -724.696, -1597.83, -535.557, -1717.41, -559.841
4497, 2700.00000, -1901.64, -730.611, -1607.73, -538.78, -1728.74, -563.074
4498, 0.00000, -1899.76, -737.07, -1609.68, -546.304, -1730.4, -570.722
4498, 900.00000, -1916.03, -744.108, -1619.7, -549.61, -1741.78, -573.799
4498, 1800.00000, -1910.69, -747.864, -1620.71, -556.107, -1741.66, -580.157
4498, 2700.00000, -1926.68, -754.064, -1629.26, -558.162, -1750.95, -581.475
4499, 0.00000, -1919.34, -756.734, -1629.78, -564.457, -1750.25, -587.731
4499, 900.00000, -1936.84, -763.821, -1638.15, -566.415, -1759.6, -588.927
4499, 1800.00000, -1929.62, -765.184, -1639.56, -572.339, -1759.42, -594.779
4499, 2700.00000, -1950.33, -772.787, -1648.36, -573.694, -1769.23, -595.216
4500, 0.00000, -1941.17, -773.059, -1649.6, -579.562, -1768.75, -601.105
4500, 900.00000, -1963.58, -781.661, -1658.35, -580.888, -1778.63, -601.416
4500, 1800.00000, -1957.75, -783.691, -1663.06, -588.769, -1782.17, -609.743
4500, 2700.00000, -1986.58, -795.793, -1675.89, -592.362, -1796.92, -612.619
