hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
0, 900.00000, 2500.13, -3.30868, 2507.21, -122.125, 2493.54, 117.628, 81.3983, -102.573, 87.1298, 147.816, 78.2365, 9.0325
0, 1800.00000, 2472.82, -4.11821, 2481.11, -122.886, 2468.37, 116.875, 101.297, -141.115, 97.3332, 108.382, 106.537, -26.8807
0, 2700.00000, 2474.21, -4.09241, 2481.86, -122.87, 2469.53, 116.893, 100.987, -140.782, 97.1159, 108.662, 106.122, -26.5527
1, 0.00000, 2475.61, -4.06634, 2482.61, -122.854, 2470.69, 116.912, 100.676, -140.443, 96.9004, 108.943, 105.707, -26.2203
1, 900.00000, 2477.01, -4.04028, 2483.35, -122.839, 2471.85, 116.93, 100.369, -140.103, 96.6871, 109.225, 105.296, -25.8857
1, 1800.00000, 2477.82, -4.02313, 2483.81, -122.829, 2472.64, 116.944, 100.071, -139.806, 96.4711, 109.494, 104.929, -25.612
1, 2700.00000, 2478.53, -4.009, 2484.17, -122.822, 2473.34, 116.955, 99.9011, -139.614, 96.355, 109.647, 104.711, -25.4286
2, 0.00000, 2479.24, -3.99489, 2484.53, -122.815, 2474.04, 116.966, 99.7327, -139.422, 96.2396, 109.801, 104.494, -25.2448
2, 900.00000, 2479.94, -3.98078, 2484.89, -122.808, 2474.74, 116.977, 99.5654, -139.23, 96.1248, 109.955, 104.278, -25.0604
2, 1800.00000, 2480.29, -3.97312, 2485.1, -122.803, 2475.09, 116.983, 99.4049, -139.07, 96.0083, 110.103, 104.086, -24.9176
2, 2700.00000, 2480.56, -3.96776, 2485.25, -122.8, 2475.36, 116.988, 99.3409, -138.992, 95.9669, 110.16, 104.006, -24.8471
3, 0.00000, 2480.83, -3.96241, 2485.39, -122.797, 2475.64, 116.992, 99.2771, -138.915, 95.9256, 110.217, 103.926, -24.7766
3, 900.00000, 2481.1, -3.95706, 2485.54, -122.795, 2475.91, 116.997, 99.2135, -138.838, 95.8844, 110.274, 103.846, -24.7059
3, 1800.00000, 2480.39, -3.96722, 2485.21, -122.801, 2475.5, 116.992, 99.1587, -138.838, 95.8351, 110.31, 103.832, -24.7439
3, 2700.00000, 2479.5, -3.98271, 2484.73, -122.812, 2474.92, 116.983, 99.3242, -139.029, 95.957, 110.136, 104.075, -24.9484
4, 0.00000, 2478.61, -3.99823, 2484.24, -122.823, 2474.34, 116.974, 99.4913, -139.221, 96.0799, 109.962, 104.32, -25.1524
4, 900.00000, 2477.71, -4.01376, 2483.76, -122.834, 2473.76, 116.965, 99.6594, -139.412, 96.2036, 109.788, 104.565, -25.3555
4, 1800.00000, 2475.45, -4.05086, 2482.61, -122.858, 2472.25, 116.945, 99.8415, -139.708, 96.3171, 109.585, 104.909, -25.7073
4, 2700.00000, 2472.92, -4.09542, 2481.23, -122.889, 2470.5, 116.918, 100.341, -140.264, 96.6769, 109.093, 105.621, -26.2809
5, 0.00000, 2485.58, -4.15564, 2480.09, -122.911, 2468.35, 116.889, 101, -140.449, 97.0452, 108.622, 106.35, -26.8645
5, 900.00000, 2483.05, -4.1994, 2478.7, -122.942, 2466.62, 116.862, 101.497, -140.986, 97.4199, 108.133, 107.077, -27.42
5, 1800.00000, 2495.08, -4.24607, 2492.31, -122.974, 2479.96, 116.842, 102.186, -141.229, 98.0191, 108.034, 108.015, -27.7534
5, 2700.00000, 2490.16, -4.32987, 2489.61, -123.035, 2476.77, 116.792, 103.162, -142.24, 98.7285, 107.138, 109.429, -28.7768
6, 0.00000, 2485.23, -4.41397, 2486.91, -123.096, 2473.57, 116.743, 104.171, -143.239, 99.4598, 106.253, 110.878, -29.7771
6, 900.00000, 2480.29, -4.49824, 2484.2, -123.157, 2470.36, 116.693, 105.209, -144.224, 100.213, 105.378, 112.36, -30.7544
6, 1800.00000, 2477.43, -4.55077, 2482.5, -123.197, 2468.48, 116.66, 106.226, -145.035, 100.999, 104.561, 113.685, -31.5083
6, 2700.00000, 2474.92, -4.59305, 2481.13, -123.229, 2466.93, 116.636, 106.763, -145.509, 101.395, 104.13, 114.453, -31.9789
7, 0.00000, 2472.41, -4.63537, 2479.76, -123.26, 2465.38, 116.612, 107.308, -145.978, 101.796, 103.702, 115.229, -32.4438
7, 900.00000, 2484.92, -4.69383, 2478.68, -123.282, 2463.44, 116.588, 107.902, -146.071, 102.201, 103.297, 116.017, -32.9149
7, 1800.00000, 2490.54, -4.47354, 2476.54, -123.229, 2466.04, 116.591, 108.419, -146.007, 102.609, 102.936, 116.607, -33.105
7, 2700.00000, 2493.01, -4.37606, 2475.84, -123.2, 2467.26, 116.6, 108.476, -145.877, 102.631, 102.922, 116.666, -33.099
8, 0.00000, 2495.42, -4.28019, 2475.09, -123.173, 2468.46, 116.607, 108.523, -145.746, 102.657, 102.902, 116.719, -33.0925
8, 900.00000, 2497.81, -4.18457, 2474.34, -123.146, 2469.67, 116.614, 108.571, -145.615, 102.683, 102.882, 116.773, -33.0858
