hour,t(sec),V1,VAngle1,I1,IAngle1
0, 900.00000, 2411.23, -1.18041, 21.7069, -27.7747
0, 1800.00000, 2411.69, -1.17358, 21.5287, -27.7675
0, 2700.00000, 2412.14, -1.16672, 21.3503, -27.7603
1, 0.00000, 2412.6, -1.15986, 21.1719, -27.7531
1, 900.00000, 2413.07, -1.15273, 20.9932, -27.7457
1, 1800.00000, 2413.3, -1.14904, 20.8774, -27.7418
1, 2700.00000, 2413.53, -1.14532, 20.7614, -27.7378
2, 0.00000, 2413.76, -1.14159, 20.6454, -27.7339
2, 900.00000, 2413.99, -1.13787, 20.5294, -27.73
2, 1800.00000, 2414.09, -1.13636, 20.4821, -27.7284
2, 2700.00000, 2414.18, -1.13485, 20.4349, -27.7268
3, 0.00000, 2414.27, -1.13335, 20.3877, -27.7252
3, 900.00000, 2414.36, -1.13184, 20.3405, -27.7236
3, 1800.00000, 2414.07, -1.13574, 20.4153, -27.7276
3, 2700.00000, 2413.79, -1.13966, 20.4902, -27.7317
4, 0.00000, 2413.5, -1.14358, 20.5652, -27.7357
4, 900.00000, 2413.22, -1.1475, 20.6402, -27.7398
4, 1800.00000, 2412.4, -1.1589, 20.8785, -27.7516
4, 2700.00000, 2411.59, -1.17034, 21.1172, -27.7635
5, 0.00000, 2410.77, -1.18177, 21.356, -27.7754
5, 900.00000, 2409.96, -1.19319, 21.5947, -27.7872
5, 1800.00000, 2408.36, -1.21532, 22.0218, -27.8101
5, 2700.00000, 2406.78, -1.2371, 22.4481, -27.8327
6, 0.00000, 2405.2, -1.25887, 22.8747, -27.8552
6, 900.00000, 2403.62, -1.28067, 23.3014, -27.8778
6, 1800.00000, 2402.82, -1.29134, 23.4993, -27.8888
6, 2700.00000, 2417.16, -1.29491, 23.6837, -27.8924
7, 0.00000, 2416.37, -1.30549, 23.8813, -27.9034
7, 900.00000, 2415.57, -1.31613, 24.0796, -27.9144
7, 1800.00000, 2417.28, -1.25464, 24.0943, -27.8529
7, 2700.00000, 2418.06, -1.22565, 24.1096, -27.8239
8, 0.00000, 2418.8, -1.19821, 24.1239, -27.7965
8, 900.00000, 2419.51, -1.17126, 24.1395, -27.7695
8, 1800.00000, 2420.18, -1.14924, 24.0913, -27.7474
8, 2700.00000, 2420.85, -1.12724, 24.0431, -27.7253
9, 0.00000, 2421.52, -1.10526, 23.9949, -27.7032
9, 900.00000, 2422.11, -1.08478, 23.9464, -27.6827
