hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
4368, 900.00000, 2496.01, -3.43012, 2500.63, -122.352, 2494.47, 117.529, 14.8901, 165.26, 14.8623, 46.3383, 14.9, -73.7813
4368, 1800.00000, 2498.04, -3.39629, 2501.69, -122.331, 2495.98, 117.55, 14.6478, 165.294, 14.625, 46.3594, 14.6594, -73.7597
4368, 2700.00000, 2500.08, -3.36243, 2502.7, -122.31, 2497.48, 117.571, 14.4501, 165.328, 14.4352, 46.3796, 14.4654, -73.7393
4369, 0.00000, 2502.09, -3.32941, 2503.74, -122.29, 2498.96, 117.591, 14.2564, 165.361, 14.2456, 46.3999, 14.2737, -73.7185
4369, 900.00000, 2504.1, -3.29616, 2504.77, -122.27, 2500.46, 117.612, 14.0612, 165.394, 14.0561, 46.4202, 14.0812, -73.6978
4369, 1800.00000, 2505.4, -3.27419, 2505.44, -122.256, 2501.43, 117.626, 13.8698, 165.416, 13.8687, 46.4337, 13.8915, -73.6839
4369, 2700.00000, 2506.52, -3.26247, 2506.51, -122.242, 2486.68, 117.654, 13.7472, 165.428, 13.7467, 46.4484, 13.856, -73.656
4370, 0.00000, 2507.78, -3.24173, 2507.15, -122.229, 2487.59, 117.667, 13.625, 165.448, 13.6276, 46.461, 13.7352, -73.6431
4370, 900.00000, 2509.04, -3.22092, 2507.78, -122.217, 2488.52, 117.68, 13.5024, 165.469, 13.5083, 46.4735, 13.6134, -73.6302
4370, 1800.00000, 2509.63, -3.21059, 2508.09, -122.21, 2488.98, 117.687, 13.383, 165.48, 13.3909, 46.4798, 13.4939, -73.6233
4370, 2700.00000, 2510.18, -3.20131, 2508.37, -122.205, 2489.41, 117.693, 13.3282, 165.489, 13.3375, 46.4851, 13.4393, -73.6173
4371, 0.00000, 2510.73, -3.19204, 2508.64, -122.2, 2489.83, 117.699, 13.2734, 165.498, 13.2841, 46.4904, 13.3847, -73.6114
4371, 900.00000, 2511.28, -3.18276, 2508.92, -122.194, 2490.26, 117.704, 13.2186, 165.507, 13.2307, 46.4958, 13.3301, -73.6054
4371, 1800.00000, 2510.8, -3.19024, 2508.69, -122.198, 2489.89, 117.7, 13.1687, 165.5, 13.18, 46.4917, 13.2793, -73.6099
4371, 2700.00000, 2510.25, -3.19938, 2508.4, -122.204, 2489.47, 117.694, 13.2215, 165.491, 13.2316, 46.4863, 13.332, -73.6159
4372, 0.00000, 2509.7, -3.20852, 2508.12, -122.209, 2489.05, 117.688, 13.2744, 165.481, 13.2831, 46.4808, 13.3846, -73.6218
4372, 900.00000, 2509.15, -3.21767, 2507.84, -122.215, 2488.63, 117.682, 13.3273, 165.472, 13.3347, 46.4754, 13.4373, -73.6278
4372, 1800.00000, 2508.12, -3.2348, 2507.34, -122.224, 2487.83, 117.671, 13.3825, 165.455, 13.3873, 46.4661, 13.4919, -73.6385
4372, 2700.00000, 2507.06, -3.25277, 2506.82, -122.234, 2487, 117.66, 13.4901, 165.437, 13.492, 46.4561, 13.5991, -73.65
4373, 0.00000, 2506, -3.27075, 2506.31, -122.244, 2486.17, 117.648, 13.5977, 165.419, 13.5967, 46.4461, 13.7064, -73.6616
4373, 900.00000, 2504.94, -3.28874, 2505.79, -122.254, 2485.34, 117.637, 13.7054, 165.401, 13.7015, 46.4361, 13.8137, -73.6731
4373, 1800.00000, 2503.34, -3.31513, 2504.98, -122.269, 2484.12, 117.62, 13.8158, 165.375, 13.8078, 46.4208, 13.9231, -73.6899
4373, 2700.00000, 2501.72, -3.34233, 2504.16, -122.285, 2482.87, 117.602, 13.9754, 165.348, 13.9628, 46.4049, 14.0818, -73.7075
4374, 0.00000, 2500.09, -3.36955, 2503.33, -122.301, 2481.63, 117.585, 14.1351, 165.32, 14.1179, 46.3889, 14.2406, -73.7251
4374, 900.00000, 2498.46, -3.39677, 2502.5, -122.317, 2480.38, 117.567, 14.2951, 165.293, 14.2731, 46.373, 14.3997, -73.7427
4374, 1800.00000, 2495.8, -3.44018, 2501.15, -122.343, 2478.42, 117.541, 14.4605, 165.25, 14.4313, 46.347, 14.5626, -73.7694
4374, 2700.00000, 2498.06, -3.28114, 2498.04, -122.32, 2479.02, 117.516, 14.6996, 165.409, 14.6959, 46.3697, 14.8124, -73.7937
4375, 0.00000, 2497.19, -3.25082, 2496.08, -122.327, 2478, 117.493, 14.9518, 165.439, 14.9582, 46.3626, 15.068, -73.8172
4375, 900.00000, 2496.57, -3.21289, 2494.26, -122.327, 2477.14, 117.477, 15.2049, 165.477, 15.2185, 46.3627, 15.3244, -73.8327
4375, 1800.00000, 2496.49, -3.1652, 2492.56, -122.326, 2476.66, 117.46, 15.4549, 165.525, 15.4784, 46.3639, 15.5789, -73.8494
4375, 2700.00000, 2496.44, -3.11664, 2490.89, -122.324, 2476.21, 117.445, 15.6487, 165.573, 15.6827, 46.3659, 15.7768, -73.8652
4376, 0.00000, 2496.38, -3.06809, 2489.23, -122.322, 2475.76, 117.429, 15.8426, 165.622, 15.8873, 46.3679, 15.9749, -73.881
