hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)"
0, 900.00000, -2.69435E-12, -6.70742E-12, 4.54357E-12, 1.04515E-12, -5.81437E-12, 1.81395E-12
0, 1800.00000, -0.684447, -0.684476, -0.632481, -0.632484, -0.607382, -0.607386
0, 2700.00000, -0.679828, -0.679862, -0.627879, -0.627884, -0.603162, -0.603168
1, 0.00000, -0.675205, -0.675238, -0.623274, -0.62328, -0.598939, -0.598944
1, 900.00000, -0.670572, -0.670605, -0.618666, -0.618671, -0.594708, -0.594714
1, 1800.00000, -0.65768, -0.657684, -0.613784, -0.613784, -0.590518, -0.590516
1, 2700.00000, -0.655126, -0.655123, -0.611223, -0.611223, -0.588211, -0.58821
2, 0.00000, -0.652564, -0.652561, -0.608661, -0.608661, -0.585902, -0.585901
2, 900.00000, -0.65, -0.649996, -0.606098, -0.606098, -0.583591, -0.58359
2, 1800.00000, -0.647243, -0.647241, -0.603466, -0.603466, -0.581116, -0.581116
2, 2700.00000, -0.646308, -0.646307, -0.602534, -0.602534, -0.580278, -0.580277
3, 0.00000, -0.645373, -0.645372, -0.601601, -0.601601, -0.579439, -0.579438
3, 900.00000, -0.644438, -0.644437, -0.600668, -0.600668, -0.578599, -0.578598
3, 1800.00000, -0.642989, -0.642994, -0.599518, -0.59952, -0.577445, -0.577445
3, 2700.00000, -0.645734, -0.645738, -0.602277, -0.602278, -0.580055, -0.580055
4, 0.00000, -0.648474, -0.648479, -0.605034, -0.605035, -0.582662, -0.582662
4, 900.00000, -0.651212, -0.651216, -0.607789, -0.60779, -0.585268, -0.585268
4, 1800.00000, -0.653211, -0.653223, -0.610229, -0.610232, -0.587438, -0.587438
4, 2700.00000, -0.660985, -0.660996, -0.61807, -0.618073, -0.594803, -0.594803
5, 0.00000, -0.668729, -0.668739, -0.625898, -0.625901, -0.602151, -0.602151
5, 900.00000, -0.676443, -0.676452, -0.633713, -0.633715, -0.609481, -0.609482
5, 1800.00000, -0.683023, -0.683024, -0.641011, -0.641011, -0.616237, -0.616237
5, 2700.00000, -0.697165, -0.697166, -0.655447, -0.655447, -0.629849, -0.629849
6, 0.00000, -0.711198, -0.711199, -0.669833, -0.669833, -0.643403, -0.643403
6, 900.00000, -0.725121, -0.725122, -0.68417, -0.68417, -0.656899, -0.656899
6, 1800.00000, -0.740178, -0.740181, -0.699005, -0.699006, -0.67104, -0.67104
6, 2700.00000, -0.747074, -0.747076, -0.706157, -0.706158, -0.677799, -0.677799
7, 0.00000, -0.753941, -0.753943, -0.713296, -0.713296, -0.684543, -0.684543
7, 900.00000, -0.760781, -0.760782, -0.720422, -0.720422, -0.691274, -0.691274
7, 1800.00000, -0.772484, -0.772484, -0.727106, -0.727106, -0.700362, -0.700362
7, 2700.00000, -0.774609, -0.774609, -0.727296, -0.727296, -0.701657, -0.701657
8, 0.00000, -0.776695, -0.776695, -0.727465, -0.727465, -0.702935, -0.702935
8, 900.00000, -0.778775, -0.778775, -0.727636, -0.727636, -0.704215, -0.704215
8, 1800.00000, -0.780707, -0.780707, -0.728017, -0.728017, -0.705478, -0.705478
8, 2700.00000, -0.780847, -0.780847, -0.726735, -0.726735, -0.705128, -0.705128
9, 0.00000, -0.780978, -0.780978, -0.725455, -0.725455, -0.704777, -0.704777
9, 900.00000, -0.781101, -0.781101, -0.724178, -0.724178, -0.704425, -0.704425
9, 1800.00000, -0.780434, -0.780434, -0.722909, -0.72291, -0.703679, -0.703679
9, 2700.00000, -0.780678, -0.780678, -0.72249, -0.72249, -0.703755, -0.703755
