hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
0, 900.00000, 2273.85, -8.5823, 2382.89, -127.004, 2337.46, 112.765, 371.26, 159.94, 356.874, 41.5173, 363.735, -78.7131
0, 1800.00000, 2274.57, -8.56908, 2383.25, -126.996, 2338.03, 112.776, 371.682, 159.923, 357.128, 41.4938, 364.032, -78.7333
0, 2700.00000, 2275.48, -8.5547, 2383.97, -126.986, 2339, 112.793, 371.845, 159.938, 357.042, 41.5038, 363.898, -78.7162
1, 0.00000, 2276.37, -8.54053, 2384.72, -126.976, 2339.98, 112.811, 372.005, 159.952, 356.93, 41.5141, 363.744, -78.6983
1, 900.00000, 2277.27, -8.52638, 2385.47, -126.965, 2340.95, 112.829, 372.166, 159.966, 356.816, 41.5245, 363.59, -78.6805
1, 1800.00000, 2277.71, -8.51864, 2385.84, -126.961, 2341.57, 112.84, 372.243, 159.974, 356.732, 41.5291, 363.474, -78.669
1, 2700.00000, 2278.16, -8.51066, 2386.19, -126.957, 2342.19, 112.85, 372.323, 159.982, 356.677, 41.5332, 363.378, -78.6582
2, 0.00000, 2278.61, -8.50266, 2386.53, -126.953, 2342.8, 112.861, 372.403, 159.991, 356.625, 41.5371, 363.282, -78.6474
2, 900.00000, 2279.05, -8.49465, 2386.87, -126.95, 2343.42, 112.872, 372.482, 159.999, 356.573, 41.5411, 363.186, -78.6367
2, 1800.00000, 2279.22, -8.49163, 2387.03, -126.948, 2343.68, 112.877, 372.51, 160.002, 356.535, 41.5429, 363.123, -78.6315
2, 2700.00000, 2279.39, -8.48856, 2387.17, -126.946, 2343.93, 112.881, 372.541, 160.005, 356.512, 41.5445, 363.083, -78.6272
3, 0.00000, 2279.56, -8.48548, 2387.31, -126.945, 2344.17, 112.885, 372.571, 160.008, 356.491, 41.5461, 363.045, -78.6228
3, 900.00000, 2279.73, -8.4824, 2387.45, -126.943, 2344.41, 112.89, 372.602, 160.011, 356.469, 41.5477, 363.007, -78.6184
3, 1800.00000, 2279.13, -8.49068, 2387, -126.951, 2343.98, 112.882, 372.493, 160.003, 356.496, 41.5404, 363.039, -78.6257
3, 2700.00000, 2278.55, -8.49863, 2386.49, -126.959, 2343.53, 112.874, 372.389, 159.995, 356.569, 41.5322, 363.11, -78.6343
4, 0.00000, 2277.97, -8.50654, 2385.98, -126.967, 2343.08, 112.865, 372.284, 159.987, 356.647, 41.524, 363.181, -78.643
4, 900.00000, 2277.38, -8.51444, 2385.47, -126.975, 2342.63, 112.857, 372.18, 159.979, 356.724, 41.5158, 363.252, -78.6516
4, 1800.00000, 2275.74, -8.53744, 2384.03, -126.997, 2341.24, 112.83, 371.884, 159.956, 356.95, 41.4936, 363.48, -78.6781
4, 2700.00000, 2274.1, -8.56049, 2382.6, -127.019, 2339.85, 112.804, 371.589, 159.932, 357.168, 41.4713, 363.7, -78.7045
5, 0.00000, 2272.45, -8.58355, 2381.16, -127.041, 2338.46, 112.778, 371.295, 159.909, 357.387, 41.4489, 363.919, -78.731
5, 900.00000, 2270.8, -8.6066, 2379.73, -127.063, 2337.07, 112.752, 371, 159.885, 357.606, 41.4264, 364.139, -78.7574
5, 1800.00000, 2267.62, -8.64998, 2376.9, -127.107, 2334.56, 112.704, 370.427, 159.841, 358.009, 41.3819, 364.529, -78.8056
