#{"t_start": 1765832065.4867177, "env_id": "None"}
r,l,t
-19574.911918,96,11.499289
-11643.8417,96,20.914735
-7927.377675,96,28.418423
-2782.058465,96,35.905434
-2282.781573,96,43.92434
-512.221109,96,51.717782
-17373.790363,96,59.385466
-7067.5112,96,66.983662
-16070.792354,96,74.487536
-7033.198194,96,82.084464
-10388.707412,96,89.648527
-7027.13463,96,97.229957
-12417.958847,96,104.69448
-1696.664287,96,114.556808
-3061.007045,96,124.448993
-16842.989686,96,134.853647
-4302.935763,96,143.421262
-3424.909571,96,150.859674
-18864.238497,96,158.181994
-6201.006468,96,168.063504
-15944.638636,96,177.764655
-2782.377067,96,190.19656
-2903.885054,96,200.547012
-4045.107704,96,210.783163
-4765.831432,96,221.551676
-943.692134,96,230.20379
-1860.578854,96,237.766519
-2555.622466,96,245.171437
-2203.056323,96,252.635413
-1668.171381,96,259.884222
-1654.760921,96,267.388021
-4658.05717,96,274.971497
-1950.998976,96,284.807003
-5592.722416,96,295.693461
-6270.101837,96,306.101804
-1442.433901,96,316.790932
-1069.537793,96,326.977848
-3952.861812,96,337.623422
-1771.56251,96,348.042128
-915.344052,96,358.763526
-3125.115114,96,366.776981
-1683.475113,96,374.456307
-3372.303834,96,385.141093
-2493.273193,96,395.378655
-2047.056838,96,405.827037
-5773.634608,96,415.862305
-1796.523143,96,425.979352
-1546.671135,96,435.850296
-687.410418,96,445.967077
-1201.41452,96,455.684367
-915.742888,96,463.24438
-1999.008768,96,470.701504
-2038.149077,96,480.645516
-1382.762716,96,489.725597
-1115.574175,96,500.019291
-1607.372616,96,509.954486
-1377.744682,96,520.160603
-1354.635663,96,529.883014
-1183.463457,96,537.583455
-1768.660861,96,545.087144
-7369.571675,96,554.031219
-475.347496,96,563.868473
-1136.674915,96,573.096834
-1500.331946,96,583.285244
-890.583206,96,595.594155
-315.664449,96,605.791623
-570.000676,96,615.784722
-1071.251023,96,626.409785
-908.303036,96,634.774526
-260.168093,96,642.233931
-2058.889047,96,649.594723
-1095.973493,96,656.965658
-1083.670869,96,664.435339
-430.413563,96,673.840529
-5510.268381,96,684.432693
-1580.061127,96,694.812793
-1368.922926,96,705.676306
-754.372834,96,716.123499
-1476.398153,96,726.269158
-1717.675332,96,735.740585
-372.267963,96,745.769876
-1508.885086,96,755.838634
-325.525328,96,765.979786
-638.058899,96,774.94676
-1133.343934,96,782.521687
-2051.984814,96,791.645248
-340.005282,96,799.155078
-1233.863449,96,806.642708
-2005.641813,96,815.911967
-288.194224,96,826.027129
-459.21608,96,836.288698
-130.564828,96,846.657207
-1300.974847,96,857.059082
-508.129743,96,867.377391
-747.367321,96,878.133787
-1281.985736,96,885.555194
-1198.519055,96,893.215777
-498.993879,96,901.251411
-1115.404543,96,911.988367
-545.937023,96,921.256543
-618.367544,96,929.949307
-590.63612,96,940.295692
-1133.283488,96,950.201651
-1229.153903,96,960.367035
-452.006604,96,970.591974
