#{"t_start": 1765834262.7978303, "env_id": "None"}
r,l,t
-6561.336514,96,8.330836
-7874.948566,96,15.806229
-1105.161211,96,23.293726
-12769.66785,96,30.81564
-2260.004344,96,38.994435
-6323.836375,96,49.079443
-2884.107078,96,58.044024
-9930.586497,96,65.688955
-2618.324207,96,73.481619
-15468.497048,96,81.157833
-15920.268327,96,91.318795
-2140.296953,96,102.338662
-14423.13873,96,113.029532
-4815.621425,96,123.558215
-10987.00682,96,133.744381
-14450.83905,96,141.55649
-14878.907838,96,149.632975
-8187.439201,96,158.183243
-6479.577612,96,165.778985
-4761.18007,96,173.391041
-3251.967687,96,180.900501
-986.500265,96,190.052593
-4468.811386,96,197.633989
-2122.279536,96,205.176297
-596.196585,96,212.63096
-1721.480389,96,220.321475
-5635.134008,96,227.690053
-5159.27812,96,235.112292
-618.120693,96,242.664162
-1517.426675,96,250.033965
-3395.893426,96,257.524688
-1412.538713,96,265.165384
-1186.097935,96,272.739268
-3266.383552,96,280.191678
-7397.81562,96,287.705537
-3478.243725,96,295.334934
-1950.174085,96,302.79013
-1244.179594,96,312.697394
-7889.01986,96,322.891289
-4066.326721,96,333.006983
-5824.935886,96,343.011325
-3631.424979,96,352.749048
-1412.409396,96,361.774099
-543.953018,96,369.136677
-1038.668379,96,376.581164
-2585.087149,96,383.978698
-995.474324,96,393.251674
-1045.262204,96,402.565646
-1072.646811,96,410.98802
-3396.894043,96,421.312341
-991.434963,96,429.832521
-978.982204,96,437.257486
-1388.945497,96,444.766135
-1319.51596,96,452.072222
-2987.550724,96,459.450296
-541.922383,96,466.930786
-1008.815669,96,474.570912
-3410.131317,96,482.047304
-2978.242898,96,489.619819
-1593.417721,96,497.12204
-434.504081,96,504.758741
-1944.516505,96,512.09135
-651.510175,96,519.619473
-2335.579468,96,527.146851
-1210.72733,96,536.216032
-412.883395,96,543.893017
-292.097376,96,551.496102
-657.477372,96,560.881565
-1696.506617,96,570.365795
-1089.331458,96,577.848619
-751.724486,96,585.534153
-1248.843028,96,596.225235
-2075.063856,96,607.408697
-697.362159,96,618.150983
-1430.811456,96,626.177098
-624.170872,96,633.658682
-785.998378,96,641.119697
-1461.552585,96,648.661183
-1008.797179,96,656.275032
-509.968364,96,663.878445
-1159.329399,96,671.324898
-368.049443,96,678.906207
-1052.983772,96,686.343703
-372.985695,96,693.842376
-548.194068,96,701.436368
-596.592016,96,710.56456
-1187.801328,96,718.11826
-782.774669,96,725.64956
-745.221396,96,733.118463
-1252.947196,96,740.806853
-214.512096,96,748.32536
